Key,Confirmed,Deaths
CN_CQ,5,0
CN_GD,26,0
CN_GX,0,0
CN_GZ,0,0
CN_HA,4,0
CN_HB,375,9
CN_HI,4,0
CN_HL,0,0
CN_HN,1,0
CN_JL,0,0
CN_JX,2,0
CN_LN,2,0
CN_NX,0,0
CN_SC,2,0
CN_SD,1,0
CN_SH,9,0
CN_SX,0,0
CN_TJ,4,0
CN_YN,1,0
CN_ZJ,10,0
CZ,0,0
DE,0,0
DK,0,0
DO,0,0
DZ,0,0
EC,0,0
EE,0,0
EG,0,0
ES,0,0
FI,0,0
FR,0,0
GB,0,0
GE,0,0
GR,0,0
HR,0,0
ID,0,0
IE,0,0
IL,0,0
IN,0,0
IQ,0,0
IR,0,0
IS,0,0
IT,0,0
JP,1,0
KH,0,0
KR,1,0
KW,0,0
LB,0,0
LK,0,0
LT,0,0
LU,0,0
MC,0,0
MK,0,0
MX,0,0
MY,0,0
NG,0,0
NL,0,0
NO,0,0
NP,0,0
NZ,0,0
OM,0,0
PH,0,0
PK,0,0
QA,0,0
RO,0,0
RU,0,0
SE,0,0
SG,0,0
SM,0,0
TH,4,0
TW,1,0
US,1,0
VN,0,0
AE,0,0
AF,0,0
AM,0,0
AT,0,0
AU,0,0
AZ,0,0
BE,0,0
BH,0,0
BR,0,0
BY,0,0
CA,0,0
CH,0,0
CN,623,17
CN_AH,9,0
CN_BJ,14,0
CN_CQ,9,0
CN_FJ,5,0
CN_GD,32,0
CN_GS,0,0
CN_GX,5,0
CN_GZ,3,0
CN_HA,5,0
CN_HB,444,17
CN_HE,1,0
CN_HI,5,0
CN_HL,1,0
CN_HN,9,0
CN_JL,1,0
CN_JS,1,0
CN_JX,3,0
CN_LN,3,0
CN_NX,1,0
CN_SC,8,0
CN_SD,6,0
CN_SH,16,0
CN_SN,0,0
CN_SX,1,0
CN_ZJ,27,0
CZ,0,0
DE,0,0
DK,0,0
DO,0,0
DZ,0,0
EC,0,0
EE,0,0
EG,0,0
ES,0,0
FI,0,0
FR,0,0
GB,0,0
GE,0,0
GR,0,0
HR,0,0
ID,0,0
IE,0,0
IL,0,0
IN,0,0
IQ,0,0
IR,0,0
IS,0,0
IT,0,0
JP,1,0
KH,0,0
KR,1,0
KW,0,0
LB,0,0
LK,0,0
LT,0,0
LU,0,0
MC,0,0
MK,0,0
MX,0,0
MY,0,0
NG,0,0
NL,0,0
NO,0,0
NP,0,0
NZ,0,0
OM,0,0
PH,0,0
PK,0,0
QA,0,0
RO,0,0
RU,0,0
SE,0,0
SG,0,0
SM,0,0
TH,4,0
TW,1,0
US,1,0
VN,0,0
AE,0,0
AF,0,0
AM,0,0
AT,0,0
AU,0,0
AZ,0,0
BE,0,0
BH,0,0
BR,0,0
BY,0,0
CA,0,0
CH,0,0
CN,882,26
CN_AH,15,0
CN_BJ,29,0
CN_CQ,27,0
CN_FJ,10,0
CN_GD,53,0
CN_GS,2,0
CN_GX,13,0
CN_GZ,3,0
CN_HA,9,0
CN_HB,549,24
CN_HE,2,1
CN_HI,8,0
CN_HL,4,1
CN_HN,24,0
CN_JL,3,0
CN_JS,9,0
CN_JX,7,0
CN_LN,4,0
CN_NX,2,0
CN_SC,15,0
CN_SD,15,0
CN_SH,20,0
CN_SN,3,0
CN_SX,1,0
CN_TJ,7,0
CN_XJ,2,0
CN_YN,2,0
CN_ZJ,43,0
CZ,0,0
DE,0,0
DK,0,0
DO,0,0
DZ,0,0
EC,0,0
EE,0,0
EG,0,0
ES,0,0
FI,0,0
FR,0,0
FR_IDF,2,
FR_NAQ,1,
GB,0,0
GE,0,0
GR,0,0
HR,0,0
ID,0,0
IE,0,0
IL,0,0
IN,0,0
IQ,0,0
IR,0,0
IS,0,0
IT,0,0
JP,2,0
KH,0,0
KR,2,0
KW,0,0
LB,0,0
LK,0,0
LT,0,0
LU,0,0
MC,0,0
MK,0,0
MX,0,0
MY,0,0
NG,0,0
NL,0,0
NO,0,0
NP,0,0
NZ,0,0
OM,0,0
PH,0,0
PK,0,0
QA,0,0
RO,0,0
RU,0,0
SE,0,0
SG,3,0
SM,0,0
TH,4,0
TW,1,0
US,1,0
VN,2,0
AE,0,0
AF,0,0
AM,0,0
AT,0,0
AU,1,0
AZ,0,0
BE,0,0
BH,0,0
BR,0,0
BY,0,0
CA,0,0
CH,0,0
CN,1323,41
CN_AH,39,0
CN_BJ,36,0
CN_CQ,57,0
CN_FJ,18,0
CN_GD,78,0
CN_GS,4,0
CN_GX,23,0
CN_GZ,4,0
CN_HA,32,0
CN_HB,729,39
CN_HE,8,1
CN_HI,17,0
CN_HL,9,1
CN_HN,43,0
CN_JL,4,0
CN_JS,18,0
CN_JX,18,0
CN_LN,15,0
CN_NX,3,0
CN_QH,1,0
CN_SC,28,0
CN_SD,27,0
CN_SH,33,0
CN_SN,15,0
CN_SX,6,0
CN_TJ,9,0
CN_XJ,3,0
CN_YN,5,0
CN_ZJ,62,0
CZ,0,0
DE,0,0
DK,0,0
DO,0,0
DZ,0,0
EC,0,0
EE,0,0
EG,0,0
ES,0,0
FI,0,0
FR,3,0
FR_IDF,2,
FR_NAQ,1,
GB,0,0
GE,0,0
GR,0,0
HR,0,0
ID,0,0
IE,0,0
IL,0,0
IN,0,0
IQ,0,0
IR,0,0
IS,0,0
IT,0,0
JP,2,0
KH,0,0
KR,2,0
KW,0,0
LB,0,0
LK,0,0
LT,0,0
LU,0,0
MC,0,0
MK,0,0
MX,0,0
MY,3,0
NG,0,0
NL,0,0
NO,0,0
NP,1,0
NZ,0,0
OM,0,0
PH,0,0
PK,0,0
QA,0,0
RO,0,0
RU,0,0
SE,0,0
SG,3,0
SM,0,0
TH,5,0
TW,3,0
US,2,0
VN,2,0
AE,0,0
AF,0,0
AM,0,0
AT,0,0
AU,4,0
AZ,0,0
BE,0,0
BH,0,0
BR,0,0
BY,0,0
CA,1,0
CH,0,0
CN,1988,56
CN_AH,60,0
CN_BJ,54,0
CN_CQ,75,0
CN_FJ,29,0
CN_GD,98,0
CN_GS,7,0
CN_GX,36,0
CN_GZ,5,0
CN_HA,83,1
CN_HB,1058,52
CN_HE,13,1
CN_HI,22,0
CN_HL,15,1
CN_HN,69,0
CN_JS,33,0
CN_JX,36,0
CN_LN,21,0
CN_NX,4,0
CN_SC,44,0
CN_SD,46,0
CN_SH,40,1
CN_SN,22,0
CN_SX,9,0
CN_TJ,13,0
CN_XJ,4,0
CN_YN,11,0
CN_ZJ,104,0
CZ,0,0
DE,0,0
DK,0,0
DO,0,0
DZ,0,0
EC,0,0
EE,0,0
EG,0,0
ES,0,0
FI,0,0
FR,3,0
FR_IDF,2,
FR_NAQ,1,
GB,0,0
GE,0,0
GR,0,0
HR,0,0
ID,0,0
IE,0,0
IL,0,0
IN,0,0
IQ,0,0
IR,0,0
IS,0,0
IT,0,0
JP,3,0
KH,0,0
KR,3,0
KW,0,0
LB,0,0
LK,0,0
LT,0,0
LU,0,0
MC,0,0
MK,0,0
MX,0,0
MY,4,0
NG,0,0
NL,0,0
NO,0,0
NP,1,0
NZ,0,0
OM,0,0
PH,0,0
PK,0,0
QA,0,0
RO,0,0
