ForecastDate,Date,Key,Estimated,Confirmed
2020-04-22,2020-04-20,AL,582,584
2020-04-22,2020-04-21,AL,596,609
2020-04-22,2020-04-22,AL,608,634
2020-04-22,2020-04-23,AL,621,
2020-04-22,2020-04-24,AL,633,
2020-04-22,2020-04-25,AL,644,
2020-04-22,2020-04-26,AL,655,
2020-04-22,2020-04-27,AL,665,
2020-04-22,2020-04-28,AL,676,
2020-04-22,2020-04-29,AL,685,
2020-04-22,2020-03-26,AM,328,329
2020-04-22,2020-03-27,AM,365,372
2020-04-22,2020-03-28,AM,404,424
2020-04-22,2020-03-29,AM,444,424
2020-04-22,2020-03-30,AM,485,482
2020-04-22,2020-03-31,AM,528,532
2020-04-22,2020-04-01,AM,571,571
2020-04-22,2020-04-02,AM,615,663
2020-04-22,2020-04-03,AM,660,736
2020-04-22,2020-04-04,AM,706,770
2020-04-22,2020-04-05,AM,751,822
2020-04-22,2020-04-06,AM,797,833
2020-04-22,2020-04-07,AM,843,853
2020-04-22,2020-04-08,AM,888,881
2020-04-22,2020-04-09,AM,934,921
2020-04-22,2020-04-10,AM,978,937
2020-04-22,2020-04-11,AM,1022,967
2020-04-22,2020-04-12,AM,1066,1013
2020-04-22,2020-04-13,AM,1108,1039
2020-04-22,2020-04-14,AM,1150,1111
2020-04-22,2020-04-15,AM,1191,1159
2020-04-22,2020-04-16,AM,1231,1201
2020-04-22,2020-04-17,AM,1269,1248
2020-04-22,2020-04-18,AM,1307,1291
2020-04-22,2020-04-19,AM,1344,1339
2020-04-22,2020-04-20,AM,1379,1401
2020-04-22,2020-04-21,AM,1413,1473
2020-04-22,2020-04-22,AM,1446,1523
2020-04-22,2020-04-23,AM,1478,
2020-04-22,2020-04-24,AM,1509,
2020-04-22,2020-04-25,AM,1538,
2020-04-22,2020-04-26,AM,1567,
2020-04-22,2020-04-27,AM,1594,
2020-04-22,2020-04-28,AM,1620,
2020-04-22,2020-04-29,AM,1645,
2020-04-22,2020-03-26,AR,556,589
2020-04-22,2020-03-27,AR,631,690
2020-04-22,2020-03-28,AR,711,745
2020-04-22,2020-03-29,AR,796,820
2020-04-22,2020-03-30,AR,885,966
2020-04-22,2020-03-31,AR,978,966
2020-04-22,2020-04-01,AR,1074,1133
2020-04-22,2020-04-02,AR,1173,1133
2020-04-22,2020-04-03,AR,1275,1265
2020-04-22,2020-04-04,AR,1379,1451
2020-04-22,2020-04-05,AR,1484,1554
2020-04-22,2020-04-06,AR,1591,1628
2020-04-22,2020-04-07,AR,1698,1715
2020-04-22,2020-04-08,AR,1806,1795
2020-04-22,2020-04-09,AR,1913,1894
2020-04-22,2020-04-10,AR,2020,1975
2020-04-22,2020-04-11,AR,2126,2137
2020-04-22,2020-04-12,AR,2231,2203
2020-04-22,2020-04-13,AR,2334,2272
2020-04-22,2020-04-14,AR,2436,2432
2020-04-22,2020-04-15,AR,2536,2432
2020-04-22,2020-04-16,AR,2634,2560
2020-04-22,2020-04-17,AR,2729,2658
2020-04-22,2020-04-18,AR,2822,2828
2020-04-22,2020-04-19,AR,2912,2930
2020-04-22,2020-04-20,AR,2999,3020
2020-04-22,2020-04-21,AR,3084,3132
2020-04-22,2020-04-22,AR,3166,3276
2020-04-22,2020-04-23,AR,3245,
2020-04-22,2020-04-24,AR,3322,
2020-04-22,2020-04-25,AR,3395,
2020-04-22,2020-04-26,AR,3466,
2020-04-22,2020-04-27,AR,3534,
2020-04-22,2020-04-28,AR,3599,
2020-04-22,2020-04-29,AR,3661,
2020-04-22,2020-03-26,AR_B,147,164
2020-04-22,2020-03-27,AR_B,164,193
2020-04-22,2020-03-28,AR_B,182,201
2020-04-22,2020-03-29,AR_B,202,217
2020-04-22,2020-03-30,AR_B,223,253
2020-04-22,2020-03-31,AR_B,245,270
2020-04-22,2020-04-01,AR_B,268,280
2020-04-22,2020-04-02,AR_B,293,316
2020-04-22,2020-04-03,AR_B,319,338
2020-04-22,2020-04-04,AR_B,346,364
2020-04-22,2020-04-05,AR_B,375,397
2020-04-22,2020-04-06,AR_B,404,409
2020-04-22,2020-04-07,AR_B,435,443
2020-04-22,2020-04-08,AR_B,467,460
2020-04-22,2020-04-09,AR_B,500,488
2020-04-22,2020-04-10,AR_B,534,507
2020-04-22,2020-04-11,AR_B,569,544
2020-04-22,2020-04-12,AR_B,605,586
2020-04-22,2020-04-13,AR_B,642,601
2020-04-22,2020-04-14,AR_B,680,667
2020-04-22,2020-04-15,AR_B,718,729
2020-04-22,2020-04-16,AR_B,757,759
2020-04-22,2020-04-17,AR_B,797,794
2020-04-22,2020-04-18,AR_B,837,825
2020-04-22,2020-04-19,AR_B,878,873
2020-04-22,2020-04-20,AR_B,919,915
2020-04-22,2020-04-21,AR_B,960,975
2020-04-22,2020-04-22,AR_B,1002,1036
2020-04-22,2020-04-23,AR_B,1044,
2020-04-22,2020-04-24,AR_B,1086,
2020-04-22,2020-04-25,AR_B,1128,
2020-04-22,2020-04-26,AR_B,1171,
2020-04-22,2020-04-27,AR_B,1213,
2020-04-22,2020-04-28,AR_B,1255,
2020-04-22,2020-04-29,AR_B,1297,
2020-04-22,2020-03-26,AR_C,233,262
2020-04-22,2020-03-27,AR_C,262,285
2020-04-22,2020-03-28,AR_C,291,304
2020-04-22,2020-03-29,AR_C,322,338
2020-04-22,2020-03-30,AR_C,354,366
2020-04-22,2020-03-31,AR_C,386,387
2020-04-22,2020-04-01,AR_C,419,399
2020-04-22,2020-04-02,AR_C,452,440
2020-04-22,2020-04-03,AR_C,485,472
2020-04-22,2020-04-04,AR_C,518,520
2020-04-22,2020-04-05,AR_C,551,564
2020-04-22,2020-04-06,AR_C,584,588
2020-04-22,2020-04-07,AR_C,616,622
2020-04-22,2020-04-08,AR_C,647,648
2020-04-22,2020-04-09,AR_C,678,674
2020-04-22,2020-04-10,AR_C,709,708
2020-04-22,2020-04-11,AR_C,738,749
2020-04-22,2020-04-12,AR_C,767,772
2020-04-22,2020-04-13,AR_C,795,785
2020-04-22,2020-04-14,AR_C,821,806
2020-04-22,2020-04-15,AR_C,847,841
2020-04-22,2020-04-16,AR_C,872,863
2020-04-22,2020-04-17,AR_C,896,880
2020-04-22,2020-04-18,AR_C,918,905
2020-04-22,2020-04-19,AR_C,940,919
2020-04-22,2020-04-20,AR_C,961,954
2020-04-22,2020-04-21,AR_C,981,1001
2020-04-22,2020-04-22,AR_C,1000,1044
2020-04-22,2020-04-23,AR_C,1018,
