Date,Key,GroceryAndPharmacy,TransitStations,Parks,Workplaces,RetailAndRecreation,Residential
2020-02-16,US_HI,-4,-1,14,-46,5,11
2020-02-16,US_IA,5,-7,-7,-8,-2,4
2020-02-16,US_ID,4,0,43,-25,10,3
2020-02-16,US_IL,-3,-12,-13,-22,2,5
2020-02-16,US_IN,-3,2,-3,-12,5,4
2020-02-16,US_KS,0,2,55,-14,7,3
2020-02-16,US_KY,-2,3,24,-12,3,4
2020-02-16,US_LA,0,4,14,-3,2,2
2020-02-16,US_MA,-2,-25,31,-41,11,9
2020-02-16,US_MD,-1,-18,39,-32,8,8
2020-02-16,US_ME,5,12,32,-32,15,6
2020-02-16,US_MI,-2,-2,2,-13,1,3
2020-02-16,US_MN,-1,-6,5,-22,4,5
2020-02-16,US_MO,2,-2,9,-19,5,5
2020-02-16,US_MS,2,1,-1,-15,2,4
2020-02-16,US_MT,1,-1,10,-23,6,5
2020-02-16,US_NC,1,6,44,-10,5,2
2020-02-16,US_ND,-3,1,4,-21,9,5
2020-02-16,US_NE,1,1,14,-14,7,4
2020-02-16,US_NH,7,13,54,-21,20,5
2020-02-16,US_NJ,1,-15,62,-35,14,8
2020-02-16,US_NM,6,7,35,-26,8,4
2020-02-16,US_NV,0,-2,31,-28,5,6
2020-02-16,US_NY,-2,-21,22,-36,7,8
2020-02-16,US_OH,-2,-1,10,-19,5,5
2020-02-16,US_OK,-1,2,27,-19,3,5
2020-02-16,US_OR,2,-3,73,-25,10,4
2020-02-16,US_PA,-1,-10,42,-20,8,5
2020-02-16,US_RI,-3,-13,89,-30,13,7
2020-02-16,US_SC,2,8,36,-14,6,3
2020-02-16,US_SD,1,4,-6,-22,3,6
2020-02-16,US_TN,-2,4,45,-15,6,4
2020-02-16,US_TX,2,2,21,-17,6,4
2020-02-16,US_UT,8,-7,40,-38,17,7
2020-02-16,US_VA,2,-6,40,-26,8,6
2020-02-16,US_VT,9,19,42,-18,19,4
2020-02-16,US_WA,2,-7,61,-34,12,6
2020-02-16,US_WI,-2,-7,0,-5,-6,3
2020-02-16,US_WV,-2,3,15,-14,5,4
2020-02-16,US_WY,2,6,2,-25,2,6
2020-02-16,UY,-6,-4,-21,6,-5,1
2020-02-16,VE,3,3,4,10,6,-1
2020-02-16,VN,-7,-11,-7,4,-9,7
2020-02-16,YE,3,5,2,5,6,1
2020-02-16,ZA,-10,3,-10,4,-10,1
2020-02-16,ZM,-10,-8,-4,8,-8,3
2020-02-16,ZW,-2,-7,-1,7,-3,1
2020-02-17,AE,1,0,5,2,-2,1
2020-02-17,AF,5,9,3,6,3,-1
2020-02-17,AG,-6,4,3,4,-1,1
2020-02-17,AO,-4,-1,-3,5,-3,-1
2020-02-17,AR,3,8,-3,9,3,-1
2020-02-17,AT,5,2,39,-4,8,0
2020-02-17,AU,-2,7,-12,14,-3,-1
2020-02-17,AW,-5,2,8,-13,-2,4
2020-02-17,BA,7,7,1,11,4,-1
2020-02-17,BB,-3,1,-5,2,-2,1
2020-02-17,BD,3,3,2,5,2,1
2020-02-17,BE,3,6,18,4,3,0
2020-02-17,BF,1,-4,1,5,1,0
2020-02-17,BG,4,8,26,3,4,-2
2020-02-17,BH,-4,-3,-6,5,-5,1
2020-02-17,BJ,0,-1,-11,1,-2,1
2020-02-17,BO,1,-6,1,17,-2,-2
2020-02-17,BR,-1,9,-11,15,-3,-1
2020-02-17,BS,0,8,7,1,3,0
2020-02-17,BW,-12,-12,-5,8,-8,0
2020-02-17,BY,3,4,2,5,3,0
2020-02-17,BZ,-1,5,12,0,4,0
2020-02-17,CA,3,-3,9,-3,-2,1
2020-02-17,CH,1,3,32,-2,2,1
2020-02-17,CI,3,1,11,-2,2,1
2020-02-17,CL,5,-3,12,-7,0,1
2020-02-17,CM,0,1,-1,2,-3,1
2020-02-17,CO,1,10,-3,17,-3,-1
2020-02-17,CR,3,1,-1,20,-3,-3
2020-02-17,CV,-6,-8,-6,1,-1,-1
2020-02-17,CZ,5,1,22,-2,8,0
2020-02-17,DE,2,1,10,-1,2,1
2020-02-17,DK,1,-1,9,-1,0,1
2020-02-17,DO,1,3,-3,3,-1,0
2020-02-17,EC,2,2,3,-5,4,1
2020-02-17,EE,1,3,3,1,4,1
2020-02-17,EG,4,5,3,12,0,-1
2020-02-17,ES,0,4,5,3,-1,0
2020-02-17,FI,2,-9,21,-13,2,2
2020-02-17,FJ,-5,6,-4,8,-2,1
2020-02-17,FR,2,-4,35,-14,5,3
2020-02-17,GA,-6,-2,-6,3,-3,1
2020-02-17,GB,-1,-3,20,-14,7,2
2020-02-17,GE,9,4,2,5,8,-1
2020-02-17,GH,-3,-3,-3,4,-3,0
2020-02-17,GR,3,-26,13,-1,2,1
2020-02-17,GT,-2,-2,1,4,0,0
2020-02-17,HK,-5,-33,-11,-21,-24,16
2020-02-17,HN,2,-3,-1,10,-2,-2
2020-02-17,HR,-1,0,7,1,1,1
2020-02-17,HT,-4,-6,-7,2,-5,1
2020-02-17,HU,4,5,24,3,5,0
2020-02-17,ID,-2,1,-4,2,-3,1
2020-02-17,IE,-1,0,12,-7,6,1
2020-02-17,IL,0,1,8,1,2,0
2020-02-17,IN,2,2,3,3,0,0
2020-02-17,IQ,12,15,13,11,15,-1
2020-02-17,IT,1,4,16,1,2,0
2020-02-17,JM,0,0,-11,2,-4,0
2020-02-17,JO,0,0,9,4,-4,0
2020-02-17,JP,2,-2,1,0,1,1
2020-02-17,KE,0,6,7,2,3,0
2020-02-17,KG,2,-3,-5,10,-1,-1
2020-02-17,KH,0,-20,-1,5,-2,1
2020-02-17,KR,-3,-3,-5,2,-1,2
2020-02-17,KW,2,4,-3,7,1,0
2020-02-17,KZ,0,-1,-3,9,0,0
2020-02-17,LA,3,-5,0,10,-1,1
2020-02-17,LB,0,3,3,2,4,0
2020-02-17,LK,2,4,4,7,-1,1
2020-02-17,LT,2,0,12,-13,3,3
2020-02-17,LU,-5,-13,1,-22,-3,3
2020-02-17,LV,2,0,5,2,1,0
2020-02-17,LY,5,4,12,3,3,1
2020-02-17,MD,2,2,7,5,4,0
2020-02-17,MK,8,7,21,4,8,-1
2020-02-17,ML,-4,7,1,5,0,1
2020-02-17,MM,2,0,-1,4,0,1
2020-02-17,MN,9,-8,-6,-4,-2,3
2020-02-17,MT,4,6,24,3,9,-1
2020-02-17,MU,-3,4,23,0,-1,-1
2020-02-17,MX,0,3,3,9,0,-2
2020-02-17,MY,-7,-9,-8,2,-8,2
2020-02-17,MZ,-7,-5,-3,15,-7,-2
2020-02-17,NA,-14,-12,-6,6,-15,2
2020-02-17,NE,6,3,-1,3,0,0
2020-02-17,NG,-4,0,0,2,0,0
2020-02-17,NI,1,-1,-1,11,0,-1
2020-02-17,NL,4,-3,20,-5,5,1
2020-02-17,NO,-1,-5,15,-11,3,1
2020-02-17,NP,4,5,5,7,4,0
2020-02-17,NZ,2,8,1,15,-1,-1
2020-02-17,OM,-8,-2,-4,8,-6,1
2020-02-17,PA,2,3,2,3,2,-1
2020-02-17,PE,0,1,0,1,0,0
2020-02-17,PG,4,-4,-7,7,5,-1
2020-02-17,PH,1,0,-3,5,0,0
2020-02-17,PK,5,6,9,4,4,-1
2020-02-17,PL,-1,-1,13,1,3,1
2020-02-17,PR,2,4,3,6,-2,-1
2020-02-17,PT,3,5,7,3,2,0
2020-02-17,PY,0,-5,-8,11,-3,-1
2020-02-17,QA,-3,1,8,4,-2,1
2020-02-17,RO,5,6,9,2,3,-1
2020-02-17,RW,-2,0,9,4,0,0
2020-02-17,SA,-3,-6,3,4,-7,2
2020-02-17,SE,0,-4,12,-5,0,1
2020-02-17,SG,-8,-15,-7,-5,-13,7
2020-02-17,SI,2,-4,10,-9,4,1
2020-02-17,SK,3,3,45,-6,6,0
2020-02-17,SN,-2,-4,1,2,-3,1
2020-02-17,SV,1,3,0,4,0,-1
2020-02-17,TG,0,-7,-6,0,-6,1
2020-02-17,TH,0,-6,-5,0,-3,2
2020-02-17,TJ,-5,-3,-10,14,-7,-1
2020-02-17,TR,5,4,11,8,4,-2
2020-02-17,TT,5,16,39,0,9,-1
2020-02-17,TW,-2,-15,-4,2,-7,5
2020-02-17,TZ,-1,-1,0,0,-1,1
2020-02-17,UG,-2,-1,-5,9,0,-1
2020-02-17,US,0,1,7,-2,1,1
2020-02-17,US_AK,-2,3,2,-4,-2,3
2020-02-17,US_AL,-3,-1,-10,0,-4,2
2020-02-17,US_AR,-4,-2,-2,0,-3,2
2020-02-17,US_AZ,2,6,15,0,2,0
2020-02-17,US_CA,0,2,17,-2,0,0
2020-02-17,US_CO,-4,1,-16,-5,-4,3
2020-02-17,US_CT,-5,0,-12,-9,0,3
2020-02-17,US_DE,0,7,32,2,4,0
2020-02-17,US_FL,2,6,13,0,3,0
2020-02-17,US_GA,-5,1,-21,-6,-4,3
2020-02-17,US_HI,-2,6,1,-3,0,1
2020-02-17,US_IA,6,-1,4,0,-3,1
2020-02-17,US_ID,3,8,21,0,1,0
2020-02-17,US_IL,-1,2,4,0,1,0
2020-02-17,US_IN,-1,4,3,1,1,0
2020-02-17,US_KS,-1,0,20,-1,4,0
2020-02-17,US_KY,-3,0,-5,1,-2,1
2020-02-17,US_LA,2,3,13,1,3,0
2020-02-17,US_MA,-9,-5,-16,-12,-3,3
2020-02-17,US_MD,0,3,22,1,2,0
2020-02-17,US_ME,-7,5,-7,-14,-8,5
2020-02-17,US_MI,-4,2,-3,-6,-2,2
2020-02-17,US_MN,-1,5,-8,-2,-2,1
2020-02-17,US_MO,-1,2,11,0,1,0
2020-02-17,US_MS,0,0,-2,0,-2,1
2020-02-17,US_MT,-1,1,-2,0,-1,1
2020-02-17,US_NC,0,6,15,1,1,0
2020-02-17,US_ND,-4,6,-5,-2,-1,1
2020-02-17,US_NE,2,5,23,1,5,0
2020-02-17,US_NH,-10,12,-2,-2,-10,3
2020-02-17,US_NJ,0,1,9,-2,1,1
2020-02-17,US_NM,6,4,16,1,4,0
2020-02-17,US_NV,1,4,7,-1,2,0
2020-02-17,US_NY,-5,-6,-3,-11,-2,3
2020-02-17,US_OH,-1,3,6,0,1,0
2020-02-17,US_OK,-1,2,9,-1,0,1
2020-02-17,US_OR,2,5,43,-1,4,0
2020-02-17,US_PA,-2,2,14,0,1,1
2020-02-17,US_RI,-7,-4,-6,-10,0,3
2020-02-17,US_SC,-1,2,-9,0,-1,2
2020-02-17,US_SD,1,1,-3,-2,-4,1
2020-02-17,US_TN,-3,0,-9,0,-2,1
2020-02-17,US_TX,-1,3,-3,0,-1,0
2020-02-17,US_UT,5,2,22,0,2,0
2020-02-17,US_VA,2,4,23,1,2,0
2020-02-17,US_VT,-3,10,-1,-5,-4,3
2020-02-17,US_WA,2,6,53,-5,5,1
2020-02-17,US_WI,0,3,16,-1,-1,1
2020-02-17,US_WV,-1,5,6,0,3,0
2020-02-17,US_WY,4,5,3,2,2,0
2020-02-17,UY,-3,-4,-17,7,-4,1
2020-02-17,VE,0,1,0,6,3,-1
2020-02-17,VN,-4,-9,-8,7,-11,6
2020-02-17,YE,2,3,1,5,4,2
2020-02-17,ZA,-11,1,-8,4,-12,1
2020-02-17,ZM,-7,-4,-1,7,-6,2
2020-02-17,ZW,4,-6,0,7,0,1
2020-02-18,AE,0,-1,4,2,-2,1
2020-02-18,AF,3,0,1,5,-1,1
2020-02-18,AG,-1,0,1,2,-2,1
2020-02-18,AO,-11,-6,-3,4,-9,1
2020-02-18,AR,0,8,9,11,2,-2
2020-02-18,AT,2,-1,13,-5,4,1
2020-02-18,AU,-1,8,-6,13,-1,-1
2020-02-18,AW,-7,4,4,-14,1,4
2020-02-18,BA,2,6,8,9,3,-1
2020-02-18,BB,-5,-3,-17,1,-6,2
2020-02-18,BD,2,2,3,5,1,1
2020-02-18,BE,1,5,13,4,3,0
2020-02-18,BF,-1,-4,-5,3,0,0
2020-02-18,BG,2,5,16,3,2,-1
2020-02-18,BH,-4,-3,-10,5,-5,0
2020-02-18,BJ,0,-8,-3,2,-4,1
2020-02-18,BO,2,-1,3,20,0,-2
2020-02-18,BR,-2,8,-5,15,-1,-1
2020-02-18,BS,-4,22,8,-1,0,0
2020-02-18,BW,-5,-7,-1,9,1,-1
2020-02-18,BY,7,6,6,5,6,-1
2020-02-18,BZ,-4,5,7,3,1,0
2020-02-18,CA,2,0,9,0,1,0
2020-02-18,CH,-4,-4,-8,-3,-3,1
2020-02-18,CI,0,0,8,-2,0,1
2020-02-18,CL,7,-3,11,-7,0,1
2020-02-18,CM,0,0,-1,3,-4,1
2020-02-18,CO,-4,6,-4,13,-5,-2
2020-02-18,CR,0,0,-1,20,-4,-2
2020-02-18,CV,-5,-8,1,0,-3,0
