Date,Key,CountryCode,CountryName,RegionCode,RegionName,Confirmed,Deaths,Latitude,Longitude,Population
2020-01-24,CN_ZJ,CN,China,ZJ,Zhejiang,43,0,29.183200,120.093400,
2020-01-25,CN_AH,CN,China,AH,Anhui,39,0,31.825700,117.226400,
2020-01-25,CN_BJ,CN,China,BJ,Beijing,36,0,40.182400,116.414200,
2020-01-25,CN_CQ,CN,China,CQ,Chongqing,57,0,30.057200,107.874000,
2020-01-25,CN_FJ,CN,China,FJ,Fujian,18,0,26.078900,117.987400,
2020-01-25,CN_GD,CN,China,GD,Guangdong,78,0,23.341700,113.424400,
2020-01-25,CN_GS,CN,China,GS,Gansu,4,0,37.809900,101.058300,
2020-01-25,CN_GX,CN,China,GX,Guangxi,23,0,23.829800,108.788100,
2020-01-25,CN_GZ,CN,China,GZ,Guizhou,4,0,26.815400,106.874800,
2020-01-25,CN_HA,CN,China,HA,Henan,32,0,33.882000,113.614000,
2020-01-25,CN_HB,CN,China,HB,Hubei,729,39,30.975600,112.270700,
2020-01-25,CN_HE,CN,China,HE,Hebei,8,1,39.549000,116.130600,
2020-01-25,CN_HI,CN,China,HI,Hainan,17,0,19.195900,109.745300,
2020-01-25,CN_HL,CN,China,HL,Heilongjiang,9,1,47.862000,127.761500,
2020-01-25,CN_HN,CN,China,HN,Hunan,43,0,27.610400,111.708800,
2020-01-25,CN_JL,CN,China,JL,Jilin,4,0,43.666100,126.192300,
2020-01-25,CN_JS,CN,China,JS,Jiangsu,18,0,32.971100,119.455000,
2020-01-25,CN_JX,CN,China,JX,Jiangxi,18,0,27.614000,115.722100,
2020-01-25,CN_LN,CN,China,LN,Liaoning,15,0,41.295600,122.608500,
2020-01-25,CN_NX,CN,China,NX,Ningxia,3,0,37.269200,106.165500,
2020-01-25,CN_QH,CN,China,QH,Qinghai,1,0,35.745200,95.995600,
2020-01-25,CN_SC,CN,China,SC,Sichuan,28,0,30.617100,102.710300,
2020-01-25,CN_SD,CN,China,SD,Shandong,27,0,36.342700,118.149800,
2020-01-25,CN_SH,CN,China,SH,Shanghai,33,0,31.202000,121.449100,
2020-01-25,CN_SN,CN,China,SN,Shaanxi,15,0,35.191700,108.870100,
2020-01-25,CN_SX,CN,China,SX,Shanxi,6,0,37.577700,112.292200,
2020-01-25,CN_TJ,CN,China,TJ,Tianjin,9,0,39.305400,117.323000,
2020-01-25,CN_XJ,CN,China,XJ,Xinjiang,3,0,41.112900,85.240100,
2020-01-25,CN_YN,CN,China,YN,Yunnan,5,0,24.974000,101.487000,
2020-01-25,CN_ZJ,CN,China,ZJ,Zhejiang,62,0,29.183200,120.093400,
2020-01-26,CN_AH,CN,China,AH,Anhui,60,0,31.825700,117.226400,
2020-01-26,CN_BJ,CN,China,BJ,Beijing,54,0,40.182400,116.414200,
2020-01-26,CN_CQ,CN,China,CQ,Chongqing,75,0,30.057200,107.874000,
2020-01-26,CN_FJ,CN,China,FJ,Fujian,29,0,26.078900,117.987400,
2020-01-26,CN_GD,CN,China,GD,Guangdong,98,0,23.341700,113.424400,
2020-01-26,CN_GS,CN,China,GS,Gansu,7,0,37.809900,101.058300,
2020-01-26,CN_GX,CN,China,GX,Guangxi,36,0,23.829800,108.788100,
2020-01-26,CN_GZ,CN,China,GZ,Guizhou,5,0,26.815400,106.874800,
2020-01-26,CN_HA,CN,China,HA,Henan,83,1,33.882000,113.614000,
2020-01-26,CN_HB,CN,China,HB,Hubei,1058,52,30.975600,112.270700,
2020-01-26,CN_HE,CN,China,HE,Hebei,13,1,39.549000,116.130600,
2020-01-26,CN_HI,CN,China,HI,Hainan,22,0,19.195900,109.745300,
2020-01-26,CN_HL,CN,China,HL,Heilongjiang,15,1,47.862000,127.761500,
2020-01-26,CN_HN,CN,China,HN,Hunan,69,0,27.610400,111.708800,
2020-01-26,CN_JS,CN,China,JS,Jiangsu,33,0,32.971100,119.455000,
2020-01-26,CN_JX,CN,China,JX,Jiangxi,36,0,27.614000,115.722100,
2020-01-26,CN_LN,CN,China,LN,Liaoning,21,0,41.295600,122.608500,
2020-01-26,CN_NX,CN,China,NX,Ningxia,4,0,37.269200,106.165500,
2020-01-26,CN_SC,CN,China,SC,Sichuan,44,0,30.617100,102.710300,
2020-01-26,CN_SD,CN,China,SD,Shandong,46,0,36.342700,118.149800,
2020-01-26,CN_SH,CN,China,SH,Shanghai,40,1,31.202000,121.449100,
2020-01-26,CN_SN,CN,China,SN,Shaanxi,22,0,35.191700,108.870100,
2020-01-26,CN_SX,CN,China,SX,Shanxi,9,0,37.577700,112.292200,
2020-01-26,CN_TJ,CN,China,TJ,Tianjin,13,0,39.305400,117.323000,
2020-01-26,CN_XJ,CN,China,XJ,Xinjiang,4,0,41.112900,85.240100,
2020-01-26,CN_YN,CN,China,YN,Yunnan,11,0,24.974000,101.487000,
2020-01-26,CN_ZJ,CN,China,ZJ,Zhejiang,104,0,29.183200,120.093400,
2020-01-27,CN_AH,CN,China,AH,Anhui,70,0,31.825700,117.226400,
2020-01-27,CN_BJ,CN,China,BJ,Beijing,72,0,40.182400,116.414200,
2020-01-27,CN_CQ,CN,China,CQ,Chongqing,110,0,30.057200,107.874000,
2020-01-27,CN_FJ,CN,China,FJ,Fujian,56,0,26.078900,117.987400,
2020-01-27,CN_GD,CN,China,GD,Guangdong,146,0,23.341700,113.424400,
2020-01-27,CN_GS,CN,China,GS,Gansu,14,0,37.809900,101.058300,
2020-01-27,CN_GX,CN,China,GX,Guangxi,46,0,23.829800,108.788100,
2020-01-27,CN_GZ,CN,China,GZ,Guizhou,7,0,26.815400,106.874800,
2020-01-27,CN_HA,CN,China,HA,Henan,128,1,33.882000,113.614000,
2020-01-27,CN_HB,CN,China,HB,Hubei,1423,76,30.975600,112.270700,
2020-01-27,CN_HE,CN,China,HE,Hebei,18,1,39.549000,116.130600,
2020-01-27,CN_HI,CN,China,HI,Hainan,31,1,19.195900,109.745300,
2020-01-27,CN_HL,CN,China,HL,Heilongjiang,21,1,47.862000,127.761500,
2020-01-27,CN_HN,CN,China,HN,Hunan,100,0,27.610400,111.708800,
2020-01-27,CN_JL,CN,China,JL,Jilin,6,0,43.666100,126.192300,
2020-01-27,CN_JS,CN,China,JS,Jiangsu,47,0,32.971100,119.455000,
2020-01-27,CN_JX,CN,China,JX,Jiangxi,48,0,27.614000,115.722100,
2020-01-27,CN_LN,CN,China,LN,Liaoning,24,0,41.295600,122.608500,
2020-01-27,CN_NX,CN,China,NX,Ningxia,7,0,37.269200,106.165500,
2020-01-27,CN_QH,CN,China,QH,Qinghai,4,0,35.745200,95.995600,
2020-01-27,CN_SC,CN,China,SC,Sichuan,69,0,30.617100,102.710300,
2020-01-27,CN_SD,CN,China,SD,Shandong,75,0,36.342700,118.149800,
2020-01-27,CN_SH,CN,China,SH,Shanghai,53,1,31.202000,121.449100,
2020-01-27,CN_SN,CN,China,SN,Shaanxi,35,0,35.191700,108.870100,
2020-01-27,CN_SX,CN,China,SX,Shanxi,13,0,37.577700,112.292200,
2020-01-27,CN_TJ,CN,China,TJ,Tianjin,18,0,39.305400,117.323000,
2020-01-27,CN_XJ,CN,China,XJ,Xinjiang,5,0,41.112900,85.240100,
2020-01-27,CN_YN,CN,China,YN,Yunnan,19,0,24.974000,101.487000,
2020-01-27,CN_ZJ,CN,China,ZJ,Zhejiang,128,0,29.183200,120.093400,
2020-01-28,CN_AH,CN,China,AH,Anhui,106,0,31.825700,117.226400,
2020-01-28,CN_BJ,CN,China,BJ,Beijing,91,1,40.182400,116.414200,
2020-01-28,CN_CQ,CN,China,CQ,Chongqing,132,0,30.057200,107.874000,
2020-01-28,CN_FJ,CN,China,FJ,Fujian,73,0,26.078900,117.987400,
2020-01-28,CN_GD,CN,China,GD,Guangdong,188,0,23.341700,113.424400,
2020-01-28,CN_GS,CN,China,GS,Gansu,19,0,37.809900,101.058300,
2020-01-28,CN_GX,CN,China,GX,Guangxi,51,0,23.829800,108.788100,
2020-01-28,CN_GZ,CN,China,GZ,Guizhou,9,0,26.815400,106.874800,
2020-01-28,CN_HA,CN,China,HA,Henan,168,1,33.882000,113.614000,
