ForecastDate,Date,Key,Estimated,Confirmed
2020-05-22,2020-05-25,AF,10945.749319112245,
2020-05-22,2020-05-26,AF,11594.417124775811,
2020-05-22,2020-05-27,AF,12275.494131729369,
2020-05-22,2020-05-28,AF,12990.249886787396,
2020-05-22,2020-05-29,AF,13739.986090101796,
2020-05-22,2020-04-25,AG,24.297690408456024,24
2020-05-22,2020-04-26,AG,24.392807899342845,24
2020-05-22,2020-04-27,AG,24.475801642165703,24
2020-05-22,2020-04-28,AG,24.548182402350243,24
2020-05-22,2020-04-29,AG,24.611281161269794,24
2020-05-22,2020-04-30,AG,24.6662683999502,24
2020-05-22,2020-05-01,AG,24.714171859242335,25
2020-05-22,2020-05-02,AG,24.75589274277964,25
2020-05-22,2020-05-03,AG,24.792220386742613,25
2020-05-22,2020-05-04,AG,24.823845458787837,25
2020-05-22,2020-05-05,AG,24.85137177248748,25
2020-05-22,2020-05-06,AG,24.875326817156836,25
2020-05-22,2020-05-07,AG,24.89617110899963,25
2020-05-22,2020-05-08,AG,24.914306470328267,25
2020-05-22,2020-05-09,AG,24.930083340906563,25
2020-05-22,2020-05-10,AG,24.943807220463178,25
2020-05-22,2020-05-11,AG,24.9557443350458,25
2020-05-22,2020-05-12,AG,24.96612661278282,25
2020-05-22,2020-05-13,AG,24.975156047250863,25
2020-05-22,2020-05-14,AG,24.983008519329665,25
2020-05-22,2020-05-15,AG,24.989837141369133,25
2020-05-22,2020-05-16,AG,24.9957751808291,25
2020-05-22,2020-05-17,AG,25.00093861435518,25
2020-05-22,2020-05-18,AG,25.005428357559985,25
2020-05-22,2020-05-19,AG,25.0093322105956,25
2020-05-22,2020-05-20,AG,25.0127265549205,25
2020-05-22,2020-05-21,AG,25.015677832458273,25
2020-05-22,2020-05-22,AG,25.018243834587906,25
2020-05-22,2020-05-23,AG,25.020474825061203,
2020-05-22,2020-05-24,AG,25.022414517977225,
2020-05-22,2020-05-25,AG,25.02410092932105,
2020-05-22,2020-05-26,AG,25.02556711826071,
2020-05-22,2020-05-27,AG,25.026841832359466,
2020-05-22,2020-05-28,AG,25.027950069070876,
2020-05-22,2020-05-29,AG,25.0289135643134,
