Date,Key,CountryCode,CountryName,RegionCode,RegionName,Confirmed,Deaths,Latitude,Longitude,Population,Region
2020-01-24,CN,CN,China,CQ,Chongqing,27,0,30.057200,107.874000,,Chongqing
2020-01-24,CN,CN,China,FJ,Fujian,10,0,26.078900,117.987400,,Fujian
2020-01-24,CN,CN,China,GD,Guangdong,53,0,23.341700,113.424400,,Guangdong
2020-01-24,CN,CN,China,GS,Gansu,2,0,37.809900,101.058300,,Gansu
2020-01-24,CN,CN,China,GX,Guangxi,13,0,23.829800,108.788100,,Guangxi
2020-01-24,CN,CN,China,GZ,Guizhou,3,0,26.815400,106.874800,,Guizhou
2020-01-24,CN,CN,China,HA,Henan,9,0,33.882000,113.614000,,Henan
2020-01-24,CN,CN,China,HB,Hubei,549,24,30.975600,112.270700,,Hubei
2020-01-24,CN,CN,China,HE,Hebei,2,1,39.549000,116.130600,,Hebei
2020-01-24,CN,CN,China,HI,Hainan,8,0,19.195900,109.745300,,Hainan
2020-01-24,CN,CN,China,HL,Heilongjiang,4,1,47.862000,127.761500,,Heilongjiang
2020-01-24,CN,CN,China,HN,Hunan,24,0,27.610400,111.708800,,Hunan
2020-01-24,CN,CN,China,JL,Jilin,3,0,43.666100,126.192300,,Jilin
2020-01-24,CN,CN,China,JS,Jiangsu,9,0,32.971100,119.455000,,Jiangsu
2020-01-24,CN,CN,China,JX,Jiangxi,7,0,27.614000,115.722100,,Jiangxi
2020-01-24,CN,CN,China,LN,Liaoning,4,0,41.295600,122.608500,,Liaoning
2020-01-24,CN,CN,China,NX,Ningxia,2,0,37.269200,106.165500,,Ningxia
2020-01-24,CN,CN,China,SC,Sichuan,15,0,30.617100,102.710300,,Sichuan
2020-01-24,CN,CN,China,SD,Shandong,15,0,36.342700,118.149800,,Shandong
2020-01-24,CN,CN,China,SH,Shanghai,20,0,31.202000,121.449100,,Shanghai
2020-01-24,CN,CN,China,SN,Shaanxi,3,0,35.191700,108.870100,,Shaanxi
2020-01-24,CN,CN,China,SX,Shanxi,1,0,37.577700,112.292200,,Shanxi
2020-01-24,CN,CN,China,TJ,Tianjin,7,0,39.305400,117.323000,,Tianjin
2020-01-24,CN,CN,China,XJ,Xinjiang,2,0,41.112900,85.240100,,Xinjiang
2020-01-24,CN,CN,China,YN,Yunnan,2,0,24.974000,101.487000,,Yunnan
2020-01-24,CN,CN,China,ZJ,Zhejiang,43,0,29.183200,120.093400,,Zhejiang
2020-01-25,CN,CN,China,,,1323,41,35.861660,104.195397,1433783686,
2020-01-25,CN,CN,China,AH,Anhui,39,0,31.825700,117.226400,,Anhui
2020-01-25,CN,CN,China,BJ,Beijing,36,0,40.182400,116.414200,,Beijing
2020-01-25,CN,CN,China,CQ,Chongqing,57,0,30.057200,107.874000,,Chongqing
2020-01-25,CN,CN,China,FJ,Fujian,18,0,26.078900,117.987400,,Fujian
2020-01-25,CN,CN,China,GD,Guangdong,78,0,23.341700,113.424400,,Guangdong
2020-01-25,CN,CN,China,GS,Gansu,4,0,37.809900,101.058300,,Gansu
2020-01-25,CN,CN,China,GX,Guangxi,23,0,23.829800,108.788100,,Guangxi
2020-01-25,CN,CN,China,GZ,Guizhou,4,0,26.815400,106.874800,,Guizhou
2020-01-25,CN,CN,China,HA,Henan,32,0,33.882000,113.614000,,Henan
2020-01-25,CN,CN,China,HB,Hubei,729,39,30.975600,112.270700,,Hubei
2020-01-25,CN,CN,China,HE,Hebei,8,1,39.549000,116.130600,,Hebei
2020-01-25,CN,CN,China,HI,Hainan,17,0,19.195900,109.745300,,Hainan
2020-01-25,CN,CN,China,HL,Heilongjiang,9,1,47.862000,127.761500,,Heilongjiang
2020-01-25,CN,CN,China,HN,Hunan,43,0,27.610400,111.708800,,Hunan
2020-01-25,CN,CN,China,JL,Jilin,4,0,43.666100,126.192300,,Jilin
2020-01-25,CN,CN,China,JS,Jiangsu,18,0,32.971100,119.455000,,Jiangsu
2020-01-25,CN,CN,China,JX,Jiangxi,18,0,27.614000,115.722100,,Jiangxi
2020-01-25,CN,CN,China,LN,Liaoning,15,0,41.295600,122.608500,,Liaoning
2020-01-25,CN,CN,China,NX,Ningxia,3,0,37.269200,106.165500,,Ningxia
2020-01-25,CN,CN,China,QH,Qinghai,1,0,35.745200,95.995600,,Qinghai
2020-01-25,CN,CN,China,SC,Sichuan,28,0,30.617100,102.710300,,Sichuan
2020-01-25,CN,CN,China,SD,Shandong,27,0,36.342700,118.149800,,Shandong
2020-01-25,CN,CN,China,SH,Shanghai,33,0,31.202000,121.449100,,Shanghai
2020-01-25,CN,CN,China,SN,Shaanxi,15,0,35.191700,108.870100,,Shaanxi
2020-01-25,CN,CN,China,SX,Shanxi,6,0,37.577700,112.292200,,Shanxi
2020-01-25,CN,CN,China,TJ,Tianjin,9,0,39.305400,117.323000,,Tianjin
2020-01-25,CN,CN,China,XJ,Xinjiang,3,0,41.112900,85.240100,,Xinjiang
2020-01-25,CN,CN,China,YN,Yunnan,5,0,24.974000,101.487000,,Yunnan
2020-01-25,CN,CN,China,ZJ,Zhejiang,62,0,29.183200,120.093400,,Zhejiang
2020-01-26,CN,CN,China,,,1988,56,35.861660,104.195397,1433783686,
2020-01-26,CN,CN,China,AH,Anhui,60,0,31.825700,117.226400,,Anhui
2020-01-26,CN,CN,China,BJ,Beijing,54,0,40.182400,116.414200,,Beijing
2020-01-26,CN,CN,China,CQ,Chongqing,75,0,30.057200,107.874000,,Chongqing
2020-01-26,CN,CN,China,FJ,Fujian,29,0,26.078900,117.987400,,Fujian
2020-01-26,CN,CN,China,GD,Guangdong,98,0,23.341700,113.424400,,Guangdong
2020-01-26,CN,CN,China,GS,Gansu,7,0,37.809900,101.058300,,Gansu
2020-01-26,CN,CN,China,GX,Guangxi,36,0,23.829800,108.788100,,Guangxi
2020-01-26,CN,CN,China,GZ,Guizhou,5,0,26.815400,106.874800,,Guizhou
2020-01-26,CN,CN,China,HA,Henan,83,1,33.882000,113.614000,,Henan
2020-01-26,CN,CN,China,HB,Hubei,1058,52,30.975600,112.270700,,Hubei
2020-01-26,CN,CN,China,HE,Hebei,13,1,39.549000,116.130600,,Hebei
2020-01-26,CN,CN,China,HI,Hainan,22,0,19.195900,109.745300,,Hainan
2020-01-26,CN,CN,China,HL,Heilongjiang,15,1,47.862000,127.761500,,Heilongjiang
2020-01-26,CN,CN,China,HN,Hunan,69,0,27.610400,111.708800,,Hunan
2020-01-26,CN,CN,China,JS,Jiangsu,33,0,32.971100,119.455000,,Jiangsu
2020-01-26,CN,CN,China,JX,Jiangxi,36,0,27.614000,115.722100,,Jiangxi
2020-01-26,CN,CN,China,LN,Liaoning,21,0,41.295600,122.608500,,Liaoning
2020-01-26,CN,CN,China,NX,Ningxia,4,0,37.269200,106.165500,,Ningxia
2020-01-26,CN,CN,China,SC,Sichuan,44,0,30.617100,102.710300,,Sichuan
2020-01-26,CN,CN,China,SD,Shandong,46,0,36.342700,118.149800,,Shandong
2020-01-26,CN,CN,China,SH,Shanghai,40,1,31.202000,121.449100,,Shanghai
2020-01-26,CN,CN,China,SN,Shaanxi,22,0,35.191700,108.870100,,Shaanxi
2020-01-26,CN,CN,China,SX,Shanxi,9,0,37.577700,112.292200,,Shanxi
2020-01-26,CN,CN,China,TJ,Tianjin,13,0,39.305400,117.323000,,Tianjin
2020-01-26,CN,CN,China,XJ,Xinjiang,4,0,41.112900,85.240100,,Xinjiang
2020-01-26,CN,CN,China,YN,Yunnan,11,0,24.974000,101.487000,,Yunnan
2020-01-26,CN,CN,China,ZJ,Zhejiang,104,0,29.183200,120.093400,,Zhejiang
2020-01-27,CN,CN,China,,,2775,81,35.861660,104.195397,1433783686,
2020-01-27,CN,CN,China,AH,Anhui,70,0,31.825700,117.226400,,Anhui
2020-01-27,CN,CN,China,BJ,Beijing,72,0,40.182400,116.414200,,Beijing
2020-01-27,CN,CN,China,CQ,Chongqing,110,0,30.057200,107.874000,,Chongqing
2020-01-27,CN,CN,China,FJ,Fujian,56,0,26.078900,117.987400,,Fujian
2020-01-27,CN,CN,China,GD,Guangdong,146,0,23.341700,113.424400,,Guangdong
2020-01-27,CN,CN,China,GS,Gansu,14,0,37.809900,101.058300,,Gansu
2020-01-27,CN,CN,China,GX,Guangxi,46,0,23.829800,108.788100,,Guangxi
2020-01-27,CN,CN,China,GZ,Guizhou,7,0,26.815400,106.874800,,Guizhou
2020-01-27,CN,CN,China,HA,Henan,128,1,33.882000,113.614000,,Henan
2020-01-27,CN,CN,China,HB,Hubei,1423,76,30.975600,112.270700,,Hubei
2020-01-27,CN,CN,China,HE,Hebei,18,1,39.549000,116.130600,,Hebei
