date,key,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index
2020-05-21,AD,3,2,1,0,1,1,0,2,2,2,,,2,3,0,0,0,56.34
2020-05-21,AE,3,,,,,,,,,,,,,,,,,
2020-05-21,AF,,,,,,,,,,,,,,,,,,
2020-05-21,AL,,,,,,,,,,,,,,,,,,
2020-05-21,AO,,,,,,,,,,,,,,,,,,
2020-05-21,AR,,,,,,,,,,,,,,,,,,
2020-05-21,AT,1,2,2,2,0,0,1,2,2,2,0,0,2,2,2,0,0,56.34
2020-05-21,AU,,,,,,,,,,,,,,,,,,
2020-05-21,AW,,,,,,2,2,3,,,,,,,,,,
2020-05-21,AZ,,,,,,,,4,2,,,,,,,,,
2020-05-21,BA,,,,,,,,,,,,,,,,,,
2020-05-21,BB,,,,,,,,,,,,,,,,,,
2020-05-21,BD,,,,,,,,,,,,,,,,,,
2020-05-21,BE,,,,,,,,,,,,,,,,,,
2020-05-21,BF,,,,,,,,,,,,,,,,,,
2020-05-21,BG,,,,,,,,,,,,,,,,,,
2020-05-21,BH,3,2,2,4,1,2,1,4,2,2,0,0,2,2,2,0,0,86.77
2020-05-21,BI,,,,,,,,,,,,,,,,,,
2020-05-21,BJ,,,,,,,,,,,,,,,,,,
2020-05-21,BM,,,,,,,,,,,,,,,,,,
2020-05-21,BN,3,0,1,3,0,0,1,4,1,0,0,0,2,2,1,0,0,56.74
2020-05-21,BO,3,,2,,,,,,,1,,,2,0,1,0,0,
2020-05-21,BR,3,3,2,4,2,2,2,4,1,,,,,1,0,,,
2020-05-21,BT,,,1,,,0,,,,,,,,,,,,
2020-05-21,BW,3,,,,1,,2,,,,,,,,,,,
2020-05-21,BY,,,,,,,,,,,,,,,,,,
2020-05-21,BZ,,,,,,,,,,,,,,,,,,
2020-05-21,CA,,,,,,,,,,,,,,,,,,
2020-05-21,CD,,,,,,,,,,,,,,,,,,
2020-05-21,CF,,,,,,,,,,,,,,,,,,
2020-05-21,CG,,,,,,,,,,,,,,,,,,
2020-05-21,CH,,,,,,,,,,,,,,,,,,
2020-05-21,CI,,,,,,,,,,,,,,,,,,
2020-05-21,CL,,,,,,,,,,1,,,,,,,,
2020-05-21,CM,,,,,,,,,,,,,,,,,,
2020-05-21,CN,,,,,,,,,,,,,,,,,,
2020-05-21,CO,3,2,2,4,1,2,2,,,,,,,,,,,
2020-05-21,CR,3,2,1,3,0,1,2,4,1,1,0,0,2,1,1,0,0,74.99
2020-05-21,CU,3,3,2,4,2,3,2,,,,,,,,,,,
2020-05-21,CV,,,,,,,,,,,,,,,,,,
2020-05-21,CY,,,,,,,,,,,,,,,,,,
2020-05-21,CZ,,,,,,,,,,,,,,,,,,
2020-05-21,DE,,,,,,,,,,,,,,,,,,
2020-05-21,DJ,,,,,,,,,,,,,,,,,,
2020-05-21,DK,,,,,,,,,,,,,,,,,,
2020-05-21,DM,,,,,,,,,,,,,,,,,,
2020-05-21,DO,,,,,,,,,,,,,,,,,,
2020-05-21,DZ,,,,,,,,,,,,,,,,,,
2020-05-21,EC,,,,,,,,,,,,,,,,,,
2020-05-21,EE,,,,,,,,,,,,,,,,,,
2020-05-21,EG,,,,,,,,,,,,,,,,,,
2020-05-21,ES,,,,,,,,,2,,,,,,,,,
2020-05-21,ET,,,,,,,,,,,,,,,,,,
2020-05-21,FI,,,,,,,,,,,,,,,,,,
2020-05-21,FR,,,,,,,,,,,,,,,,,,
2020-05-21,GA,,,,,,,,,,,,,,,,,,
2020-05-21,GB,,,,,,,,,,,,,,,,,,
2020-05-21,GE,,,,,,,,,,,,,,,,,,
2020-05-21,GH,,,,,,,,,,,,,,,,,,
2020-05-21,GL,,,,,,,,,,,,,,,,,,
2020-05-21,GM,,,,,,,,,,,,,,,,,,
2020-05-21,GR,,,,,,,,,,,,,,,,,,
2020-05-21,GT,,,,,,,,,,,,,,,,,,
2020-05-21,GU,3,3,2,4,,1,,3,,,,,,,,,,
2020-05-21,GY,,3,2,4,1,2,2,4,,,,,,,,,,
2020-05-21,HN,,,,,,,,,,,,,,,,,,
2020-05-21,HR,2,1,2,3,1,1,2,0,2,2,0,0,2,2,2,0,0,66.53
2020-05-21,HU,,,,,,,,,,,,,,,,,,
2020-05-21,ID,,,,,,,,,,,,,,,,,,
2020-05-21,IE,,,,,,,,,,,,,,,,,,
2020-05-21,IL,,,,,,,,,,,,,,,,,,
2020-05-21,IN,3,2,2,4,2,2,2,3,,2,,,2,3,2,0,0,76.07
2020-05-21,IQ,,,,,,,,,,,,,,,,,,
2020-05-21,IR,,,,,,,,,,,,,,,,,,
2020-05-21,IS,,,2,3,0,0,0,3,2,2,0,0,2,3,2,0,0,
2020-05-21,IT,,,,,,,,,,,,,,,,,,
2020-05-21,JM,,,,,,,,,1,,,,,,,,,
2020-05-21,JO,,,,,,,,0,,,,,,,,,,
2020-05-21,JP,,1,1,,,,,,,,,,,,,,,
2020-05-21,KE,,,,,,,,,,,,,,,,,,
2020-05-21,KG,3,,,,,,,,,,,,,,,,,
2020-05-21,KR,2,2,1,0,0,0,0,3,1,1,0,0,2,3,2,0,0,43.51
2020-05-21,KW,,,,,,,,,,,,,,,,,,
2020-05-21,KZ,,,,,,,,,,,,,,,,,,
2020-05-21,LA,,,,,,,,,,,,,,,,,,
2020-05-21,LB,,,,,,,,,,,,,,,,,,
2020-05-21,LK,,,,,,,,,,,,,,,,,,
2020-05-21,LR,3,,,,,2,2,,,,,,,,,,,
2020-05-21,LS,,,,,,,,,,,,,,,,,,
2020-05-21,LT,,,,,,,,,,,,,,,,,,
2020-05-21,LU,,,,,,,,,,,,,,,,,,
2020-05-21,LY,,,,,,,,,,,,,,,,0,,
2020-05-21,MA,,,,,,,,,,,,,,,,,,
2020-05-21,MD,,,,,,,,,,,,,,,,,,
2020-05-21,MG,,,,,,,,,,,,,,,,,,
2020-05-21,ML,,,,,,,,,,,,,,,,,,
2020-05-21,MM,,,,,,,,,,,,,,,,,,
2020-05-21,MN,,,,,,,,,,,,,,,,,,
2020-05-21,MR,,,,,,,,,,,,,,,,,,
2020-05-21,MU,3,,2,3,1,2,1,,,,,,,,,,,
2020-05-21,MW,,,,,,,,,,,,,,,,,,
2020-05-21,MX,,,,,,,,,,,,,,,,,,
2020-05-21,MY,,,,,,,,,,,,,,,,,,
2020-05-21,MZ,,,,,,,,,,,,,,,,,,
2020-05-21,"NA",,,,,,,,,,,,,,,,,,
2020-05-21,NE,,,,,,,,,,,,,,,,,,
2020-05-21,NG,,,,,,,,,,,,,,,,,,
2020-05-21,NI,,,,,,,,,,,,,,,,,,
2020-05-21,NL,,,,,,,,,,,,,,,,,,
2020-05-21,NO,,,,,,,,,,,,,,,,,,
2020-05-21,NP,,,,,,,,,,,,,,,,,,
2020-05-21,NZ,,,,,,,,,,,,,2,2,2,0,0,
2020-05-21,OM,,,,,,,,,,,,,,,,,,
2020-05-21,PA,,,,,,,,,,,,,,,,,,
2020-05-21,PE,,,,,,,,,,,,,,,,,,
2020-05-21,PG,,,,,,,,,,,,,,,,,,
2020-05-21,PH,,,,,,,,,,,,,,,,,,
2020-05-21,PK,,,2,,,,,,,,,,,,,,,
2020-05-21,PL,3,2,2,4,1,1,2,4,1,1,0,0,2,1,0,0,0,88.09
2020-05-21,PR,3,2,2,4,2,3,,,,,,,,,,,,
2020-05-21,PS,,,,,,,,,,,,,,,,,,
2020-05-21,PT,2,2,2,3,1,1,1,3,1,,0,0,2,3,1,0,0,76.71
2020-05-21,PY,,,,,,,,,,,,,,,,,,
2020-05-21,QA,,,,,,,,,,,,,,,,,,
2020-05-21,RO,,,,,,,,,,,,,,,,,,
2020-05-21,RS,,,,,,,,,,,,,,,,,,
2020-05-21,RU,,,,,,,,,,,,,,,,,,
2020-05-21,RW,,,,,,,,,,,,,,,,,,
2020-05-21,SA,,,,,,,,,,,,,,,,,,
2020-05-21,SC,,,,,,,,,,,,,,,,,,
2020-05-21,SD,,,,,,,,,,,,,,,,,,
2020-05-21,SE,,,,,,,,3,,1,,,,,,,,
2020-05-21,SG,,,,,,,,,,,,,,,,,,
