date,key,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
2020-05-19,CH_AG,2,0,10,,1187,44,1085,
2020-05-19,CH_BE,2,0,,,1865,96,,
2020-05-19,CH_BL,0,0,2,,838,35,797,
2020-05-19,CH_BS,1,0,12,0,975,50,916,
2020-05-19,CH_FR,0,0,0,0,1147,84,144,
2020-05-19,CH_GE,2,0,4,460,5120,275,743,33180
2020-05-19,CH_GL,0,0,,,128,12,,
2020-05-19,CH_GR,0,0,,,824,48,,
2020-05-19,CH_JU,1,0,,,203,7,,
2020-05-19,CH_LU,1,0,,,727,20,,
2020-05-19,CH_NE,2,0,,,721,,,
2020-05-19,CH_NW,0,0,,,123,3,,
2020-05-19,CH_OW,1,0,0,0,80,0,,
2020-05-19,CH_SG,0,0,0,,806,36,,
2020-05-19,CH_SH,0,0,,,78,6,,
2020-05-19,CH_SO,2,0,,,434,16,,
2020-05-19,CH_SZ,0,0,0,0,307,23,281,
2020-05-19,CH_TG,0,0,,0,379,17,,
2020-05-19,CH_TI,0,1,3,,3285,344,877,
2020-05-19,CH_UR,0,0,0,0,93,7,79,
2020-05-19,CH_VD,4,0,,,5421,406,,
2020-05-19,CH_VS,1,0,,,1933,151,,
2020-05-19,CH_ZG,0,0,2,,199,8,171,
2020-05-19,CH_ZH,4,1,,,3586,128,,
2020-05-19,CI,34,0,,,2153,28,,
2020-05-19,CL,3520,31,,12469,49579,509,,409669
2020-05-19,CL_AN,61,,,,1664,,,
2020-05-19,CL_AP,24,,,,429,,,
2020-05-19,CL_AR,27,,,,1710,,,
2020-05-19,CL_AT,1,,,,158,,,
2020-05-19,CL_BI,28,,,,1181,,,
2020-05-19,CL_CO,27,,,,241,,,
2020-05-19,CL_LI,25,,,,449,,,
2020-05-19,CL_LL,5,,,,668,,,
2020-05-19,CL_LR,5,,,,235,,,
2020-05-19,CL_MA,2,,,,989,,,
2020-05-19,CL_ML,38,,,,654,,,
2020-05-19,CL_NB,3,,,,1009,,,
2020-05-19,CL_RM,3164,,,,37909,,,
2020-05-19,CL_TA,53,,,,1113,,,
2020-05-19,CL_VS,88,,,,1671,,,
2020-05-19,CM,237,0,,,3529,140,,
2020-05-19,CN,9,0,5,,84503,4645,79709,
2020-05-19,CN_HB,1,0,0,,68135,4512,63616,
2020-05-19,CN_HK,0,0,1,,1055,4,1025,
2020-05-19,CN_JL,5,0,1,,151,2,123,
2020-05-19,CN_NM,3,0,0,,216,1,196,
2020-05-19,CN_SH,0,0,1,,666,7,642,
2020-05-19,CN_SN,0,0,2,,308,3,303,
2020-05-19,CO,640,21,,6490,16935,613,,214536
2020-05-19,CO_05_05001,13,0,0,,369,3,223,
2020-05-19,CO_05_05045,3,0,0,,12,0,4,
2020-05-19,CO_05_05360,1,0,0,,16,0,14,
2020-05-19,CO_05_05837,1,0,0,,2,0,0,
2020-05-19,CO_08_08001,38,1,6,,970,40,112,
2020-05-19,CO_08_08078,1,0,0,,17,0,4,
2020-05-19,CO_08_08296,0,1,0,,14,1,2,
2020-05-19,CO_08_08421,1,0,0,,1,0,0,
2020-05-19,CO_08_08433,12,0,0,,146,7,4,
2020-05-19,CO_08_08436,1,0,0,,5,0,1,
2020-05-19,CO_08_08520,1,0,0,,33,0,2,
2020-05-19,CO_08_08560,1,0,0,,3,0,1,
2020-05-19,CO_08_08573,1,0,0,,18,1,5,
2020-05-19,CO_08_08634,1,0,0,,72,0,11,
2020-05-19,CO_08_08758,39,1,4,,581,14,46,
2020-05-19,CO_11_11001,216,3,39,,5937,196,1739,
2020-05-19,CO_13_13001,76,3,16,,1467,90,237,
2020-05-19,CO_13_13052,2,0,0,,18,0,7,
2020-05-19,CO_13_13430,0,1,0,,2,1,2,
2020-05-19,CO_13_13683,1,0,1,,23,1,5,
2020-05-19,CO_13_13836,6,0,0,,47,2,18,
2020-05-19,CO_15_15001,9,0,0,,22,2,4,
2020-05-19,CO_15_15238,0,0,1,,15,0,5,
2020-05-19,CO_15_15480,0,0,1,,1,0,1,
2020-05-19,CO_15_15533,2,0,0,,2,0,0,
2020-05-19,CO_15_15759,0,0,1,,7,1,3,
2020-05-19,CO_15_15861,1,0,0,,1,0,0,
2020-05-19,CO_17_17380,0,0,2,,55,2,34,
2020-05-19,CO_19_19001,0,0,1,,28,1,19,
2020-05-19,CO_19_19548,0,0,1,,11,0,2,
2020-05-19,CO_19_19573,0,0,1,,6,0,3,
2020-05-19,CO_20_20310,1,0,0,,1,1,0,
2020-05-19,CO_23_23001,3,0,1,,45,1,12,
2020-05-19,CO_23_23090,2,0,0,,5,0,1,
2020-05-19,CO_23_23417,0,0,1,,7,1,2,
2020-05-19,CO_25_25175,2,0,0,,34,0,19,
2020-05-19,CO_25_25290,2,0,0,,10,1,5,
2020-05-19,CO_25_25307,0,1,0,,3,1,0,
2020-05-19,CO_25_25473,0,1,0,,20,2,9,
2020-05-19,CO_25_25754,8,0,0,,135,3,62,
2020-05-19,CO_27,30,0,0,,73,5,12,
2020-05-19,CO_41_41503,0,0,11,,12,0,11,
2020-05-19,CO_41_41807,0,0,1,,6,1,4,
2020-05-19,CO_44_44650,0,0,2,,6,1,3,
2020-05-19,CO_47_47001,2,0,0,,245,20,99,
2020-05-19,CO_47_47189,0,0,2,,74,2,41,
2020-05-19,CO_47_47570,4,0,3,,95,8,6,
2020-05-19,CO_50_50001,2,0,0,,921,8,76,
2020-05-19,CO_50_50006,0,0,1,,15,0,8,
2020-05-19,CO_50_50313,1,0,2,,6,0,3,
2020-05-19,CO_52_52001,7,0,0,,52,6,13,
2020-05-19,CO_52_52356,3,0,0,,115,3,36,
2020-05-19,CO_52_52835,9,0,0,,316,18,14,
2020-05-19,CO_52_52838,1,0,0,,3,1,0,
2020-05-19,CO_54_54001,0,0,1,,85,9,62,
2020-05-19,CO_63_63130,0,0,1,,8,0,8,
2020-05-19,CO_66_66001,0,0,1,,165,7,127,
2020-05-19,CO_66_66170,0,0,4,,68,1,57,
2020-05-19,CO_73_73001,5,0,2,,144,3,84,
2020-05-19,CO_73_73275,1,0,0,,2,0,0,
2020-05-19,CO_73_73411,4,0,0,,4,0,0,
2020-05-19,CO_76_76001,80,2,10,,1513,81,526,
2020-05-19,CO_76_76109,5,0,1,,131,12,15,
2020-05-19,CO_76_76130,1,0,0,,9,0,1,
2020-05-19,CO_76_76364,0,0,1,,33,1,11,
2020-05-19,CO_76_76892,3,0,0,,33,0,17,
2020-05-19,CO_85_85001,0,0,1,,23,0,13,
2020-05-19,CO_91_91001,38,2,7,,1181,49,57,
2020-05-19,CR,16,0,,434,882,10,,15050
2020-05-19,CU,6,0,,1743,1887,79,,89031
2020-05-19,CV,7,0,,,335,3,,
2020-05-19,CW,0,0,,,16,1,,
2020-05-19,CY,1,0,,,918,17,,
2020-05-19,CZ,61,5,,7508,8647,302,,379948
2020-05-19,CZ_10,16,,,,1991,,,
2020-05-19,CZ_20,10,,,,1028,,,
2020-05-19,CZ_31,0,,,,180,,,
2020-05-19,CZ_32,2,,,,655,,,
2020-05-19,CZ_41,1,,,,440,,,
2020-05-19,CZ_42,0,,,,530,,,
2020-05-19,CZ_51,0,,,,200,,,
2020-05-19,CZ_52,2,,,,196,,,
2020-05-19,CZ_53,0,,,,284,,,
2020-05-19,CZ_63,0,,,,181,,,
2020-05-19,CZ_64,0,,,,513,,,
2020-05-19,CZ_71,0,,,,731,,,
2020-05-19,CZ_72,0,,,,346,,,
2020-05-19,CZ_80,73,,,,1282,,,
2020-05-19,DE,797,83,,,176007,8090,,
2020-05-19,DJ,0,0,,,1518,7,,
2020-05-19,DK,76,3,,9857,11044,551,,412051
2020-05-19,DM,0,0,,,16,0,,
2020-05-19,DO,498,7,,,13223,441,,
2020-05-19,DZ,176,6,,,7377,561,,
2020-05-19,EC,569,40,,,34151,2839,,55384
2020-05-19,EE,7,0,,1276,1791,64,,73724
2020-05-19,EG,720,14,,,13484,659,,
2020-05-19,EH,0,0,,,6,0,,
2020-05-19,ER,0,0,,,39,0,,
2020-05-19,ES,447,99,,,232693,27892,,
2020-05-19,ES_AN,13,4,,,12502,1371,,
2020-05-19,ES_AR,31,4,,,5551,847,,
2020-05-19,ES_AS,1,1,,,2374,304,,
2020-05-19,ES_CB,4,1,,,2277,209,,
2020-05-19,ES_CE,2,0,,,119,4,,
2020-05-19,ES_CL,37,0,,,18586,1960,,
2020-05-19,ES_CM,62,13,,,16739,2913,,
2020-05-19,ES_CN,6,0,,,2300,155,,
2020-05-19,ES_CT,63,40,,,55888,6021,,
2020-05-19,ES_EX,2,0,,,3040,504,,
2020-05-19,ES_GA,9,0,,,9067,607,,
2020-05-19,ES_IB,13,2,,,2016,221,,
2020-05-19,ES_MC,2,3,,,1560,148,,
2020-05-19,ES_MD,139,18,,,66967,8912,,
2020-05-19,ES_ML,0,0,,,121,2,,
2020-05-19,ES_NC,9,0,,,5192,503,,
2020-05-19,ES_PV,26,10,,,13412,1480,,
2020-05-19,ES_RI,6,1,,,4033,353,,
2020-05-19,ES_VC,22,2,,,10949,1378,,
2020-05-19,ET,13,0,,3460,365,5,,65760
2020-05-19,FI,19,1,,3290,6399,301,,162719
2020-05-19,FJ,0,0,,,18,0,,
2020-05-19,FK,0,0,,,13,0,,
2020-05-19,FO,0,0,,,187,0,,
2020-05-19,FR,524,125,,,143427,28022,,
2020-05-19,GA,70,1,,,1502,12,,
2020-05-19,GB,0,545,,0,248818,35341,,1996648
2020-05-19,GB_ENG,1076,520,,,147745,31530,,
2020-05-19,GB_ENG_E06000001,1,,,,320,,,
2020-05-19,GB_ENG_E06000002,4,,,,655,,,
2020-05-19,GB_ENG_E06000003,6,,,,401,,,
2020-05-19,GB_ENG_E06000004,12,,,,551,,,
2020-05-19,GB_ENG_E06000005,3,,,,361,,,
2020-05-19,GB_ENG_E06000006,6,,,,386,,,
2020-05-19,GB_ENG_E06000007,7,,,,748,,,
2020-05-19,GB_ENG_E06000008,2,,,,401,,,
2020-05-19,GB_ENG_E06000009,12,,,,571,,,
2020-05-19,GB_ENG_E06000010,8,,,,682,,,
2020-05-19,GB_ENG_E06000011,12,,,,869,,,
2020-05-19,GB_ENG_E06000012,1,,,,150,,,
2020-05-19,GB_ENG_E06000013,4,,,,503,,,
2020-05-19,GB_ENG_E06000014,3,,,,444,,,
2020-05-19,GB_ENG_E06000015,2,,,,572,,,
2020-05-19,GB_ENG_E06000016,4,,,,840,,,
2020-05-19,GB_ENG_E06000018,3,,,,594,,,
2020-05-19,GB_ENG_E06000019,6,,,,431,,,
2020-05-19,GB_ENG_E06000020,3,,,,351,,,
2020-05-19,GB_ENG_E06000021,10,,,,714,,,
2020-05-19,GB_ENG_E06000023,1,,,,690,,,
2020-05-19,GB_ENG_E06000024,5,,,,379,,,
