date,key,noaa_station,noaa_distance,minimum_temperature,maximum_temperature,rainfall,snowfall
2020-05-19,AN,VQW00011624,326.538,25.6,31.7,0,0
2020-05-19,CA,CA004060983,40.814,3.7,13.3,2,
2020-05-19,CA_AB,CA003065995,36.1,5.3,16.2,0,
2020-05-19,CA_BC,CA001098D90,60.666,4,22,18,0
2020-05-19,CA_NB,CA008100989,61.617,0.1,14.9,,
2020-05-19,CA_NL,CA008501900,44.869,0.6,11.4,0,0
2020-05-19,CA_NS,CA008204193,26.245,-3.1,10.1,0,
2020-05-19,CA_NT,CA002201022,221.436,-3.5,2.4,0,
2020-05-19,CA_NU,CA002303094,163.331,-8.7,-3.9,0,
2020-05-19,CA_ON,CA006075543,65.888,0.1,22.5,0,
2020-05-19,CA_PE,CA008300301,9.708,,,,
2020-05-19,CA_QC,CA00706I001,79.948,-7.9,13.5,,
2020-05-19,CA_SK,CA004064149,49.587,5.3,14.7,1,
2020-05-19,FM,FMW00040505,506.425,27.2,31.7,0,
2020-05-19,KI,RMC00914487,533.383,23.9,27.8,452,
2020-05-19,MH,RMW00040710,35.145,27.8,31.1,51,
2020-05-19,US,USC00147542,17.909,6.7,25,0,0
2020-05-19,US_AK,USR0000AWIG,21.032,2.7,13.6,,
2020-05-19,US_AK_02013,USW00025624,51.555,5,11.1,5,
2020-05-19,US_AK_02016,USC00502587,552.204,6.1,12.2,0,0
2020-05-19,US_AK_02050,USR0000AKIL,50.567,2.2,12.2,,
2020-05-19,US_AK_02060,USW00025503,14.157,5,14.4,8,
2020-05-19,US_AK_02068,USR0000AWIG,7.425,2.7,13.6,,
2020-05-19,US_AK_02070,USW00025503,52.851,5,14.4,8,
2020-05-19,US_AK_02090,USS0046P01S,9.947,0,10,0,
2020-05-19,US_AK_02100,USC00503502,8.704,7.8,15.6,8,0
2020-05-19,US_AK_02105,USR0000AHON,19.998,6.1,11.1,,
2020-05-19,US_AK_02110,USC00504094,0.607,7.8,12.8,178,0
2020-05-19,US_AK_02130,USR0000AHLM,17.939,7.8,10.6,,
2020-05-19,US_AK_02150,USW00025501,77.004,7.2,11.1,8,
2020-05-19,US_AK_02158,USR0000AREI,61.979,7.2,19.4,,
2020-05-19,US_AK_02164,USW00025522,26.144,4.1,11.6,51,
2020-05-19,US_AK_02180,USS0064P01S,20.58,5,13.9,0,
2020-05-19,US_AK_02185,USR0000AUMI,52.158,-5,0,,
2020-05-19,US_AK_02188,USR0000AKIA,19.199,-1.1,16.1,,
2020-05-19,US_AK_02195,USW00025329,0.316,8.3,12.2,76,0
2020-05-19,US_AK_02198,USC00504594,14.617,8.3,17.8,56,0
2020-05-19,US_AK_02220,USW00025379,0.671,6.7,9.5,112,
2020-05-19,US_AK_02230,USC00508525,1.608,7.8,20,30,0
2020-05-19,US_AK_02240,USR0000AGEO,37.598,6.1,14.4,,
2020-05-19,US_AK_02261,USR0000ACHT,4.751,5,16.1,,
2020-05-19,US_AK_02275,USR0000AZAR,34.721,5.6,8.9,,
2020-05-19,US_AK_02282,USW00025382,4.885,6.4,9.6,217,
2020-05-19,US_AK_02290,USR0000AKAN,50.303,1.1,12.2,,
2020-05-19,US_AL,USC00011694,15.718,,,33,
2020-05-19,US_AL_01001,USC00011694,31.355,,,33,
2020-05-19,US_AL_01003,USC00010583,17.891,16.7,28.9,25,
2020-05-19,US_AL_01005,USC00011725,5.12,16.1,25,386,
2020-05-19,US_AL_01007,USR0000AOKM,6.183,13.3,26.1,,
2020-05-19,US_AL_01009,USC00016121,15.625,12.2,20.6,20,
2020-05-19,US_AL_01015,USW00013871,20.525,16.7,23.9,0,0
2020-05-19,US_AL_01019,USC00011490,8.617,13.3,28.3,173,
2020-05-19,US_AL_01025,USC00014193,18.559,13.9,27.8,5,
2020-05-19,US_AL_01027,USR0000ATAL,27.759,13.9,23.9,,
2020-05-19,US_AL_01031,USC00012675,14.402,17.8,25,160,
2020-05-19,US_AL_01033,USC00015751,16.319,11.7,25,0,
2020-05-19,US_AL_01041,USW00073802,20.861,16.1,28.4,14,
2020-05-19,US_AL_01045,USW00013839,18.94,19.4,30,13,0
2020-05-19,US_AL_01047,USW00063897,11.961,12.7,29.3,0,
2020-05-19,US_AL_01049,USC00013043,7.84,15,28.3,71,
2020-05-19,US_AL_01053,USW00063899,10.718,15.2,30,19,
2020-05-19,US_AL_01059,USW00063895,13.011,9.5,19.5,0,
2020-05-19,US_AL_01061,USC00013251,6.748,16.7,25.6,64,
2020-05-19,US_AL_01063,USC00013160,17.246,,28.9,0,
2020-05-19,US_AL_01065,USW00063893,4.933,13.8,26.5,0,
2020-05-19,US_AL_01071,USW00063896,9.914,12.4,20.5,26,
2020-05-19,US_AL_01073,USW00013876,11.446,13.9,23.9,0,0
2020-05-19,US_AL_01075,USC00018517,5.426,13.3,28.9,0,
2020-05-19,US_AL_01077,USW00063894,14.087,11.2,19.6,0,
2020-05-19,US_AL_01079,USC00015635,3.825,11.1,26.7,5,
2020-05-19,US_AL_01081,USC00010425,10.469,16.1,25,41,
2020-05-19,US_AL_01083,USC00010390,5.016,12.2,20,0,
2020-05-19,US_AL_01085,USW00013895,28.248,16.1,30.6,0,0
2020-05-19,US_AL_01087,USC00010425,32.015,16.1,25,41,
2020-05-19,US_AL_01089,USW00003856,24.897,12.2,21.7,0,0
2020-05-19,US_AL_01091,USC00012245,31.991,13.9,25.6,0,
2020-05-19,US_AL_01093,USC00013645,10.817,13.3,27.2,0,
2020-05-19,US_AL_01095,USC00013575,4.388,13.9,27.2,0,
2020-05-19,US_AL_01097,USW00013894,12.154,15,29.4,0,0
2020-05-19,US_AL_01103,USC00012209,15.473,13.3,26.1,51,
2020-05-19,US_AL_01105,USC00015121,19.15,13.3,28.3,0,
2020-05-19,US_AL_01111,USC00017025,21.727,15.6,23.9,13,
2020-05-19,US_AL_01115,USC00016121,25.415,12.2,20.6,20,
2020-05-19,US_AL_01117,USW00053864,14.352,14.4,24.4,0,0
2020-05-19,US_AL_01119,USC00013160,27.814,,28.9,0,
2020-05-19,US_AL_01125,USW00073801,5.327,13.2,25.7,0,
2020-05-19,US_AL_01127,USR0000ABAN,37.885,11.7,19.4,,
2020-05-19,US_AL_01129,USC00014193,29.845,13.9,27.8,5,
2020-05-19,US_AL_01131,USW00023802,41.819,12.7,28.5,10,
2020-05-19,US_AL_01133,USR0000ABAN,1.473,11.7,19.4,,
2020-05-19,US_AR,USW00003952,6.953,14.4,21.1,0,0
2020-05-19,US_AR_05001,USC00036920,22.481,15,26.1,0,
2020-05-19,US_AR_05003,USC00031730,17.911,13.3,29.4,,
2020-05-19,US_AR_05005,USC00035036,5.568,12.8,18.3,0,
2020-05-19,US_AR_05007,USW00053922,9.674,8.9,21.1,0,0
2020-05-19,US_AR_05009,USW00013971,7.137,11.7,20,0,0
2020-05-19,US_AR_05011,USC00031140,37.723,13.9,28.3,0,0
2020-05-19,US_AR_05015,USW00013971,32.464,11.7,20,0,0
2020-05-19,US_AR_05017,USC00032355,20.46,8.3,28.3,0,
2020-05-19,US_AR_05019,USC00030220,11.406,12.8,29.4,,
2020-05-19,US_AR_05021,USC00031632,14.27,12.2,22.2,3,
2020-05-19,US_AR_05023,USC00032978,1.992,13.3,23.9,5,0
2020-05-19,US_AR_05027,USC00034548,3.883,13.9,28.3,0,
2020-05-19,US_AR_05029,USC00034938,13.532,11.1,26.7,0,
2020-05-19,US_AR_05031,USC00033734,4.486,12.2,21.7,0,
2020-05-19,US_AR_05033,USC00035018,12.639,8.3,23.9,0,
2020-05-19,US_AR_05041,USC00036253,5.907,13.3,26.7,0,
2020-05-19,US_AR_05043,USW00053919,6.187,12.2,23.9,0,0
2020-05-19,US_AR_05047,USC00035512,1.151,10,26.1,0,
2020-05-19,US_AR_05049,USC00036403,3.744,11.1,17.8,0,
2020-05-19,US_AR_05051,USC00030764,6.346,11.7,26.7,0,
2020-05-19,US_AR_05053,USC00036562,3.792,11.1,27.8,0,
2020-05-19,US_AR_05055,USC00035563,9.861,13.9,21.1,0,
2020-05-19,US_AR_05057,USC00033428,10.631,13.9,27.2,0,0
2020-05-19,US_AR_05059,USW00003962,10.256,12.2,25,0,
2020-05-19,US_AR_05063,USC00030460,11.373,12.8,21.7,0,0
2020-05-19,US_AR_05065,USC00031132,23.711,10,20,0,
2020-05-19,US_AR_05067,USC00035186,7.396,14.4,21.1,0,0
2020-05-19,US_AR_05069,USC00035754,9.834,12.8,27.2,0,0
2020-05-19,US_AR_05071,USC00031457,6.02,12.2,24.4,0,
2020-05-19,US_AR_05073,USC00034185,11.068,13.3,29.4,0,0
2020-05-19,US_AR_05075,USC00030064,12.265,13.9,19.4,0,0
2020-05-19,US_AR_05077,USC00034638,4.115,15,25.6,0,
2020-05-19,US_AR_05079,USC00031191,6.919,12.2,26.7,0,0
2020-05-19,US_AR_05081,USC00030286,14.307,13.9,28.9,0,
2020-05-19,US_AR_05083,USC00036928,12.808,11.7,25,0,
2020-05-19,US_AR_05085,USC00033862,22.373,14.4,25.6,0,
2020-05-19,US_AR_05087,USC00033909,15.901,9.4,17.2,0,
2020-05-19,US_AR_05089,USW00003918,10.627,12.8,20.6,0,
2020-05-19,US_AR_05091,USR0000TTEX,16.464,16.7,28.3,,
2020-05-19,US_AR_05095,USC00036920,32.016,15,26.1,0,
2020-05-19,US_AR_05097,USW00053921,8.008,10.6,25.6,0,0
2020-05-19,US_AR_05101,USC00033909,28.085,9.4,17.2,0,
2020-05-19,US_AR_05105,USC00030130,20.159,11.1,24.4,0,0
2020-05-19,US_AR_05109,USC00035079,10.645,11.7,28.3,0,
2020-05-19,US_AR_05113,USC00034756,11.574,10.6,25,0,
