key,date,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
FR_NOR_27,2020-05-20,5,329,,,,,,,
FR_NOR_50,2020-05-20,0,227,,,,,,,
FR_NOR_61,2020-05-20,0,286,,,,,,,
FR_NOR_76,2020-05-20,3,1051,,,,,,,
FR_OCC_09,2020-05-20,2,45,,,,,,,
FR_OCC_11,2020-05-20,2,420,,,,,,,
FR_OCC_12,2020-05-20,0,176,,,,,,,
FR_OCC_30,2020-05-20,9,430,,,,,,,
FR_OCC_31,2020-05-20,0,709,,,,,,,
FR_OCC_32,2020-05-20,0,140,,,,,,,
FR_OCC_34,2020-05-20,5,825,,,,,,,
FR_OCC_46,2020-05-20,0,194,,,,,,,
FR_OCC_48,2020-05-20,1,23,,,,,,,
FR_OCC_65,2020-05-20,0,197,,,,,,,
FR_OCC_66,2020-05-20,0,368,,,,,,,
FR_OCC_81,2020-05-20,0,151,,,,,,,
FR_OCC_82,2020-05-20,0,52,,,,,,,
FR_PAC_04,2020-05-20,0,155,,,,,,,
FR_PAC_05,2020-05-20,0,144,,,,,,,
FR_PAC_06,2020-05-20,6,941,,,,,,,
FR_PAC_13,2020-05-20,17,4228,,,,,,,
FR_PAC_83,2020-05-20,0,1044,,,,,,,
FR_PAC_84,2020-05-20,1,326,,,,,,,
FR_PDL_44,2020-05-20,0,822,,,,,,,
FR_PDL_49,2020-05-20,4,744,,,,,,,
FR_PDL_53,2020-05-20,1,225,,,,,,,
FR_PDL_72,2020-05-20,1,530,,,,,,,
FR_PDL_85,2020-05-20,4,309,,,,,,,
GB_ENG,2020-05-17,,,7553,,,,,,
GB_NIR,2020-05-15,,,629,,,,,,
GB_SCT,2020-05-17,,,1007,,,,,,
GB_WLS,2020-05-17,,,848,,,,,,
IE,2020-05-17,,3143,,,390,,,,
IS,2020-05-17,,,0,,,0,,,
IT,2020-05-21,-391,9909,10207,-36,640,665,,,
IT_21,2020-05-21,-47,1562,1609,-13,83,96,,,
IT_23,2020-05-21,1,27,26,0,1,1,,,
IT_25,2020-05-21,-167,4345,4512,-5,226,231,,,
IT_34,2020-05-21,-19,252,271,-1,15,16,,,
IT_36,2020-05-21,-4,74,78,0,2,2,,,
IT_42,2020-05-21,-27,305,332,0,22,22,,,
IT_45,2020-05-21,-38,684,722,-4,92,96,,,
IT_52,2020-05-21,-13,210,223,-4,41,45,,,
IT_55,2020-05-21,-8,19,27,0,2,2,,,
IT_57,2020-05-21,-14,127,141,0,16,16,,,
IT_62,2020-05-21,-15,1178,1193,-6,68,74,,,
IT_65,2020-05-21,-11,180,191,-1,5,6,,,
IT_67,2020-05-21,1,10,9,0,2,2,,,
