key,date,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
NL_ZH_0523,2020-05-21,0,2,,,,,,,
NL_ZH_0530,2020-05-21,0,16,,,,,,,
NL_ZH_0531,2020-05-21,0,8,,,,,,,
NL_ZH_0534,2020-05-21,0,8,,,,,,,
NL_ZH_0537,2020-05-21,0,29,,,,,,,
NL_ZH_0542,2020-05-21,0,10,,,,,,,
NL_ZH_0546,2020-05-21,0,39,,,,,,,
NL_ZH_0547,2020-05-21,0,12,,,,,,,
NL_ZH_0553,2020-05-21,0,7,,,,,,,
NL_ZH_0556,2020-05-21,0,20,,,,,,,
NL_ZH_0569,2020-05-21,0,9,,,,,,,
NL_ZH_0575,2020-05-21,0,17,,,,,,,
NL_ZH_0579,2020-05-21,0,8,,,,,,,
NL_ZH_0590,2020-05-21,0,9,,,,,,,
NL_ZH_0597,2020-05-21,0,37,,,,,,,
NL_ZH_0599,2020-05-21,2,498,,,,,,,
NL_ZH_0603,2020-05-21,0,33,,,,,,,
NL_ZH_0606,2020-05-21,0,55,,,,,,,
NL_ZH_0610,2020-05-21,0,9,,,,,,,
NL_ZH_0613,2020-05-21,0,14,,,,,,,
NL_ZH_0614,2020-05-21,0,6,,,,,,,
NL_ZH_0622,2020-05-21,1,42,,,,,,,
NL_ZH_0626,2020-05-21,0,9,,,,,,,
NL_ZH_0627,2020-05-21,0,16,,,,,,,
NL_ZH_0629,2020-05-21,0,8,,,,,,,
NL_ZH_0637,2020-05-21,0,49,,,,,,,
NL_ZH_0638,2020-05-21,1,4,,,,,,,
NL_ZH_0642,2020-05-21,0,23,,,,,,,
NL_ZH_1525,2020-05-21,0,13,,,,,,,
NL_ZH_1621,2020-05-21,0,42,,,,,,,
NL_ZH_1783,2020-05-21,0,58,,,,,,,
NL_ZH_1842,2020-05-21,0,4,,,,,,,
NL_ZH_1884,2020-05-21,0,6,,,,,,,
NL_ZH_1892,2020-05-21,0,23,,,,,,,
NL_ZH_1901,2020-05-21,0,7,,,,,,,
NL_ZH_1916,2020-05-21,0,20,,,,,,,
NL_ZH_1924,2020-05-21,0,53,,,,,,,
NL_ZH_1926,2020-05-21,0,23,,,,,,,
NL_ZH_1930,2020-05-21,0,54,,,,,,,
NL_ZH_1931,2020-05-21,0,45,,,,,,,
NL_ZH_1963,2020-05-21,1,77,,,,,,,
NL_ZH_1978,2020-05-21,0,18,,,,,,,
SE,2020-05-20,,,,,,2,,,
US_AK,2020-05-20,0,36,,,,,,,
US_AL,2020-05-20,40,1493,,,,,,,
US_AR,2020-05-20,0,956,,,,,,,
US_AS,2020-05-20,0,0,,,,,,,
US_AZ,2020-05-20,46,1792,,,,,,,
US_CA,2020-05-20,0,0,,,,,,,
US_CO,2020-05-20,56,3955,,,,,,,
US_CT,2020-05-20,0,10946,,,,,,,
US_DC,2020-05-20,0,0,,,,,,,
US_DE,2020-05-20,0,0,,,,,,,
US_FL,2020-05-20,190,8934,,,,,,,
US_GA,2020-05-20,80,7107,,,,,,,
US_GU,2020-05-20,0,0,,,,,,,
US_HI,2020-05-20,0,82,,,,,,,
US_IA,2020-05-20,0,193,,,,,,,
US_ID,2020-05-20,2,215,,,,,,,
US_IL,2020-05-20,0,0,,,,,,,
US_IN,2020-05-20,0,4390,,,,,,,
US_KS,2020-05-20,20,760,,,,,,,
US_KY,2020-05-20,30,2010,,,,,,,
US_LA,2020-05-20,0,0,,,,,,,
US_MA,2020-05-20,131,8897,,,,,,,
US_MD,2020-05-20,194,7393,,,,,,,
US_ME,2020-05-20,6,231,,,,,,,
US_MI,2020-05-20,0,0,,,,,,,
US_MN,2020-05-20,87,2308,,,,,,,
US_MO,2020-05-20,0,0,,,,,,,
US_MP,2020-05-20,0,0,,,,,,,
US_MS,2020-05-20,61,1901,,,,,,,
US_MT,2020-05-20,0,65,,,,,,,
US_NC,2020-05-20,0,0,,,,,,,
US_ND,2020-05-20,7,142,,,,,,,
US_NE,2020-05-20,0,0,,,,,,,
US_NH,2020-05-20,15,383,,,,,,,
US_NJ,2020-05-20,0,0,,,,,,,
US_NM,2020-05-20,253,1139,,,,,,,
US_NV,2020-05-20,0,0,,,,,,,
US_NY,2020-05-20,242,76410,,,,,,,
US_OH,2020-05-20,81,5198,,,,,,,
US_OK,2020-05-20,8,905,,,,,,,
US_OR,2020-05-20,9,723,,,,,,,
US_PA,2020-05-20,0,1145,,,,,,,
US_PR,2020-05-20,0,0,,,,,,,
US_RI,2020-05-20,22,1486,,,,,,,
US_SC,2020-05-20,0,1444,,,,,,,
US_SD,2020-05-20,6,333,,,,,,,
US_TN,2020-05-20,17,1515,,,,,,,
US_TX,2020-05-20,0,0,,,,,,,
US_UT,2020-05-20,36,631,,,,,,,
US_VA,2020-05-20,291,6831,,,,,,,
US_VI,2020-05-20,0,0,,,,,,,
US_VT,2020-05-20,0,50,,,,,,,
US_WA,2020-05-20,0,0,,,,,,,
US_WI,2020-05-20,51,2161,,,,,,,
US_WV,2020-05-20,0,165,,,,,,,
US_WY,2020-05-20,1,74,,,,,,,
