key,date,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
US_RI,2020-05-13,-25,-9,77,-51,-45,17
US_SC,2020-05-13,-12,1,19,-11,-33,12
US_SD,2020-05-13,-15,11,74,-5,-31,13
US_TN,2020-05-13,-9,5,24,-18,-34,12
US_TX,2020-05-13,-18,-2,10,-32,-39,16
US_UT,2020-05-13,-16,4,79,-33,-42,14
US_VA,2020-05-13,-27,-5,48,-40,-46,18
US_VT,2020-05-13,-31,-14,77,-40,-46,17
US_WA,2020-05-13,-31,-4,56,-45,-48,17
US_WI,2020-05-13,-27,-3,103,-20,-39,16
US_WV,2020-05-13,-11,2,33,-7,-34,10
US_WY,2020-05-13,-12,6,47,4,-28,10
UY,2020-05-13,-39,-20,-54,-38,-21,13
VE,2020-05-13,-52,-34,-44,-53,-42,18
VN,2020-05-13,-23,1,-32,-5,16,3
YE,2020-05-13,-9,-1,-9,-6,-14,8
ZA,2020-05-13,-53,-29,-34,-63,-50,26
ZM,2020-05-13,-12,-5,0,-15,-11,13
ZW,2020-05-13,-36,-25,-27,-54,-30,28
