key,date,mobility_driving,mobility_transit,mobility_walking,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
US_MA_25027,2020-05-24,-7.56,,,-32,-15,141,-31,-30,9
US_MD,2020-05-24,-9.05,,,-32,-9,144,-33,-28,10
US_MD_24001,2020-05-24,20.21,,,-26,1,5,-6,-13,12
US_MD_24003,2020-05-24,-14.66,,,-40,-12,181,-72,-32,10
US_MD_24005,2020-05-24,-10.35,,,-30,-3,254,-28,-28,9
US_MD_24009,2020-05-24,41.75,,,-13,17,70,,-24,20
US_MD_24011,2020-05-24,34.05,,,-13,-6,,,-16,11
US_MD_24013,2020-05-24,-3.64,,,-22,-18,71,-20,-20,9
US_MD_24015,2020-05-24,27.58,,,-2,11,25,-23,-20,6
US_MD_24017,2020-05-24,13.84,,,-26,-3,-45,-67,-28,10
US_MD_24019,2020-05-24,78.34,,,2,-5,,,-12,10
US_MD_24021,2020-05-24,-4.11,,,-34,-11,104,-6,-27,9
US_MD_24023,2020-05-24,164.76,,,-17,2,,2,-24,-1
US_MD_24025,2020-05-24,12.58,,,-24,-1,135,-35,-24,7
US_MD_24027,2020-05-24,-29.42,,,-47,-24,143,-23,-34,13
US_MD_24029,2020-05-24,41.36,,,-20,-18,,,-12,
US_MD_24031,2020-05-24,-29.05,,,-45,-23,92,-43,-35,14
US_MD_24033,2020-05-24,-9.94,,,-28,-11,90,-31,-30,11
US_MD_24035,2020-05-24,61.49,,,-16,-1,-26,18,-21,17
US_MD_24037,2020-05-24,29.6,,,-19,16,134,,-24,7
US_MD_24039,2020-05-24,39.14,,,-21,-5,,,-14,
US_MD_24041,2020-05-24,54.55,,,-10,11,,,-20,8
US_MD_24043,2020-05-24,22.15,,,-31,-2,211,-25,-22,6
US_MD_24045,2020-05-24,14.12,,,-36,-1,,-38,-21,6
US_MD_24047,2020-05-24,363.55,,,23,79,14,,-15,13
US_MD_24510,2020-05-16,,,,-34,-8,90,-17,-27,8
US_ME,2020-05-24,18.85,,,-29,-6,82,-34,-22,7
US_ME_23001,2020-05-24,16.51,,,-23,-1,-31,,-21,6
US_ME_23003,2020-05-24,-2.48,,,-19,1,49,,-8,4
US_ME_23005,2020-05-24,-7.51,,,-41,-18,142,-48,-31,8
US_ME_23007,2020-05-24,63.9,,,-31,8,-64,,-23,0
US_ME_23009,2020-05-24,71.57,,,-15,9,-26,,-13,13
US_ME_23011,2020-05-24,28.35,,,-27,-6,31,-22,-18,7
US_ME_23013,2020-05-24,42.32,,,-22,-24,,,-23,11
US_ME_23015,2020-05-24,64.48,,,-15,5,,,-19,6
US_ME_23017,2020-05-24,69.46,,,-26,-2,26,,-26,13
US_ME_23019,2020-05-24,19.21,,,-37,-12,65,-43,-25,7
US_ME_23021,2020-05-16,,,,-45,5,,,-10,
US_ME_23023,2020-05-24,14.05,,,-24,-10,,,-24,13
US_ME_23025,2020-05-24,56.79,,,-14,6,-22,,-12,12
US_ME_23027,2020-05-24,50.06,,,-24,-6,-59,,-16,12
US_ME_23029,2020-05-16,,,,-19,-3,,,-12,
US_ME_23031,2020-05-24,39.4,,,-20,0,146,-31,-23,7
US_MI,2020-05-24,7.21,,,-34,-6,180,-24,-28,8
US_MI_26001,2020-05-15,,,,1,,,,-31,
US_MI_26003,2020-05-15,,,,-79,-45,13,,-44,
US_MI_26005,2020-05-24,49.15,,,-19,15,-21,-1,-25,6
US_MI_26007,2020-05-24,70.4,,,-21,-19,,,-26,3
US_MI_26009,2020-05-24,274.3,,,-73,-8,,,-25,
US_MI_26011,2020-05-16,,,,-28,12,,,-18,
US_MI_26013,2020-05-15,,,,,-44,,,-54,
US_MI_26015,2020-05-24,77.66,,,-16,23,,,-19,16
US_MI_26017,2020-05-24,57.64,,,-29,2,-23,,-27,7
US_MI_26019,2020-05-24,243.95,,,-23,-3,,,-22,
US_MI_26021,2020-05-24,94.88,,,-20,5,49,-6,-22,5
US_MI_26023,2020-05-24,89.94,,,-18,11,,,-15,15
US_MI_26025,2020-05-24,14.4,,,-27,-1,99,-10,-28,6
US_MI_26027,2020-05-24,92.48,,,-28,3,,,-13,13
US_MI_26029,2020-05-24,133.39,,,-46,-2,13,,-26,
US_MI_26031,2020-05-24,352.33,,,-6,-7,,,-20,
US_MI_26033,2020-05-24,86.51,,,-36,12,-31,,-26,2
US_MI_26035,2020-05-24,284.89,,,12,48,,,-15,9
US_MI_26037,2020-05-24,14.1,,,-22,-10,,-41,-25,20
US_MI_26039,2020-05-24,267.63,,,-47,0,,,-20,
US_MI_26041,2020-05-24,94.33,,,-20,0,,,-15,9
US_MI_26043,2020-05-24,59.66,,,-12,-19,,,-13,0
US_MI_26045,2020-05-24,10.34,,,-34,-7,,,-22,8
US_MI_26047,2020-05-24,115.08,,,-31,2,,,-31,1
US_MI_26049,2020-05-24,17.93,,,-27,-6,185,-7,-28,8
US_MI_26051,2020-05-16,,,,-54,13,,,-16,0
US_MI_26053,2020-05-16,,,,-41,-33,,,-38,
US_MI_26055,2020-05-24,93.11,,,-35,-10,80,-24,-31,6
US_MI_26057,2020-05-24,45.56,,,-19,21,,,-22,13
US_MI_26059,2020-05-24,69.31,,,-18,8,,,-23,17
US_MI_26061,2020-05-24,53.78,,,-50,-16,-7,,-34,3
US_MI_26063,2020-05-24,178.48,,,2,-5,,,-21,0
US_MI_26065,2020-05-24,-27.15,,,-46,-11,173,-35,-27,9
US_MI_26067,2020-05-24,26.06,,,-13,8,,4,-17,14
US_MI_26069,2020-05-16,,,,6,40,,,-16,
US_MI_26071,2020-05-15,,,,-34,-9,,,-28,
US_MI_26073,2020-05-24,4.13,,,-39,-1,,,-29,16
US_MI_26075,2020-05-24,24.68,,,-26,-3,-25,0,-26,6
US_MI_26077,2020-05-24,-2.16,,,-39,-11,229,-44,-26,8
US_MI_26079,2020-05-24,220.4,,,-50,-5,,,-27,
US_MI_26081,2020-05-24,-14.86,,,-45,-14,125,-37,-27,7
US_MI_26085,2020-05-15,,,,-43,10,,,-32,
US_MI_26087,2020-05-24,30.15,,,-16,3,11,,-25,6
US_MI_26089,2020-05-24,337.8,,,-64,-33,,,-25,
US_MI_26091,2020-05-24,38.98,,,-29,-3,,,-32,7
US_MI_26093,2020-05-24,-1.45,,,-41,-16,86,,-26,8
US_MI_26095,2020-03-21,,,,-67,,,,,
US_MI_26097,2020-05-15,,,,-75,-37,,,-37,
US_MI_26099,2020-05-24,-3.82,,,-37,-8,347,-3,-35,10
US_MI_26101,2020-05-16,,,,-53,-12,,,-24,
US_MI_26103,2020-05-24,63.01,,,-41,-9,76,,-25,15
US_MI_26105,2020-05-24,257.16,,,9,18,,,-15,7
US_MI_26107,2020-05-24,61.45,,,-4,2,,,-22,14
US_MI_26109,2020-05-16,,,,-34,-18,,,-19,
US_MI_26111,2020-05-24,111.26,,,-33,0,1,,-23,7
US_MI_26113,2020-05-16,,,,-37,,,,-10,
US_MI_26115,2020-05-24,26.47,,,-28,-4,81,18,-24,7
US_MI_26117,2020-05-24,74.38,,,-4,7,,,-12,13
US_MI_26119,2020-05-15,,,,-54,-12,,,-34,
US_MI_26121,2020-05-24,46.23,,,-26,3,57,,-25,5
US_MI_26123,2020-05-24,105.08,,,2,38,73,,-18,13
US_MI_26125,2020-05-24,-20.88,,,-48,-17,151,-15,-36,10
US_MI_26127,2020-05-24,310.74,,,-46,17,91,,-13,-1
US_MI_26129,2020-05-16,,,,2,24,,,-16,
US_MI_26131,2020-04-08,,,,-46,,,,-54,
US_MI_26133,2020-05-24,146.55,,,-46,24,,,-10,
US_MI_26135,2020-05-15,,,,-28,-14,,,-36,
US_MI_26137,2020-05-24,134.03,,,-26,-9,,,-22,-1
US_MI_26139,2020-05-24,30.57,,,-22,-9,468,14,-25,7
US_MI_26141,2020-05-15,,,,-64,-4,,,-27,
US_MI_26143,2020-05-24,504.23,,,0,78,-33,,-11,
US_MI_26145,2020-05-24,25.72,,,-42,-11,3,-32,-30,7
US_MI_26147,2020-05-24,43.8,,,-26,-9,172,6,-28,7
US_MI_26149,2020-05-24,57.88,,,-16,4,,,-24,14
US_MI_26151,2020-05-24,69.61,,,0,34,,,-18,11
US_MI_26153,2020-05-15,,,,-80,-32,-23,,-39,
US_MI_26155,2020-05-24,18.89,,,-14,8,,-23,-23,6
US_MI_26157,2020-05-24,25.95,,,-19,-8,,,-26,15
US_MI_26159,2020-05-24,133.86,,,3,18,,,-16,5
US_MI_26161,2020-05-24,-28.94,,,-50,-25,222,-28,-40,12
US_MI_26163,2020-05-24,4.88,,,-33,-6,32,-34,-32,9
US_MI_26165,2020-05-24,132.8,,,-16,32,,,-21,11
US_MN,2020-05-24,-7.8,,,-38,-4,54,-49,-26,10
US_MN_27001,2020-05-16,,,,-47,-35,31,,-23,
US_MN_27003,2020-05-24,-15.95,,,-32,-1,51,-41,-26,11
US_MN_27005,2020-05-24,161.84,,,-2,16,-55,,-15,13
US_MN_27007,2020-05-24,34.6,,,-20,26,79,,-11,13
US_MN_27009,2020-05-24,34.75,,,-28,-3,,,-20,12
US_MN_27011,2020-04-27,,,,,,,,-35,
US_MN_27013,2020-05-24,-0.59,,,-45,-11,-51,-54,-29,15
US_MN_27015,2020-05-24,33.23,,,-16,9,,,-24,9
US_MN_27017,2020-05-24,63.2,,,-3,6,,,-11,11
US_MN_27019,2020-05-24,-4.85,,,-30,-7,3,,-23,18
US_MN_27021,2020-05-24,209.98,,,-60,-4,-11,,-25,0
US_MN_27023,2020-05-15,,,,-19,,,,-29,
US_MN_27025,2020-05-24,52.88,,,-31,17,-50,,-21,13
US_MN_27027,2020-05-24,4.41,,,-14,8,,,-20,13
US_MN_27029,2020-05-15,,,,-72,-28,,,-34,
US_MN_27031,2020-05-13,,,,-64,-58,,,-40,
US_MN_27033,2020-05-15,,,,-46,,,,-32,
US_MN_27035,2020-05-24,179.3,,,-19,18,42,,-25,11
US_MN_27037,2020-05-24,-15.66,,,-35,-8,79,-17,-28,11
US_MN_27039,2020-05-24,9.23,,,-46,-17,,,-17,4
US_MN_27041,2020-05-24,97.68,,,-17,22,-47,-28,-12,11
US_MN_27043,2020-05-16,,,,-31,-10,,,-12,
US_MN_27045,2020-05-24,57.2,,,-52,-7,,,-13,
US_MN_27047,2020-05-24,22.81,,,-6,6,,-1,-26,10
US_MN_27049,2020-05-24,49.84,,,-19,0,-57,,-25,12
US_MN_27051,2020-05-15,,,,,,,,-29,
US_MN_27053,2020-05-24,-29.05,,,-52,-15,17,-66,-34,13
US_MN_27055,2020-05-16,,,,-78,-11,,,-20,
US_MN_27057,2020-05-24,206.85,,,-35,-4,,,-11,
US_MN_27059,2020-05-24,39.3,,,-19,7,-36,,-20,11
US_MN_27061,2020-05-24,87.91,,,-20,16,,,-16,11
US_MN_27063,2020-05-15,,,,-77,,,,-35,
US_MN_27065,2020-05-16,,,,-34,-12,,,-36,
US_MN_27067,2020-05-24,49.95,,,-29,25,,,-17,12
US_MN_27071,2020-05-15,,,,-46,-18,,,-25,
US_MN_27073,2020-05-15,,,,,,,,-15,
US_MN_27075,2020-05-15,,,,-43,-16,27,,-32,
US_MN_27077,2020-03-13,,,,-71,,,,,
US_MN_27079,2020-05-24,69.44,,,-1,-4,,,-20,15
US_MN_27081,2020-05-15,,,,,,,,-27,
US_MN_27083,2020-05-24,13.21,,,-22,-12,,,-13,4
US_MN_27085,2020-05-24,24.63,,,-25,44,,,-15,10
US_MN_27087,2020-05-15,,,,,,,,-51,
US_MN_27089,2020-05-15,,,,,,,,-25,
US_MN_27091,2020-05-24,18.3,,,-22,-16,,,-5,
US_MN_27093,2020-05-24,90.84,,,-31,-17,,,-25,3
US_MN_27095,2020-05-24,130.11,,,-19,4,,,-24,11
US_MN_27097,2020-05-24,97.85,,,-22,-17,-61,,-20,7
US_MN_27099,2020-05-24,20.2,,,-27,4,,,1,10
US_MN_27101,2020-05-15,,,,-70,,,,-29,
US_MN_27103,2020-05-24,3.61,,,-36,-11,,,-27,15
US_MN_27105,2020-05-24,21.36,,,-35,-3,,-28,-19,
US_MN_27107,2020-05-15,,,,,,,,-29,
US_MN_27109,2020-05-24,1.8,,,-41,6,139,-28,-26,9
US_MN_27111,2020-05-24,144.1,,,-1,69,-9,,-14,9
US_MN_27113,2020-05-16,,,,-26,-23,,,-43,
US_MN_27115,2020-05-24,164.21,,,-13,14,-47,,-33,10
US_MN_27117,2020-05-15,,,,-29,-20,,,-29,
US_MN_27119,2020-05-24,16.62,,,-38,-19,,,-13,10
US_MN_27121,2020-05-15,,,,-55,,,,-31,
US_MN_27123,2020-05-24,-24.33,,,-50,-7,9,-24,-30,11
US_MN_27125,2020-05-12,,,,,,,,-26,
US_MN_27127,2020-05-24,12.67,,,-41,-16,,,-24,
US_MN_27129,2020-05-16,,,,-77,,,,-14,
US_MN_27131,2020-05-24,12.6,,,-22,6,-73,-9,-25,13
US_MN_27133,2020-05-15,,,,-41,,,,-29,
US_MN_27135,2020-05-16,,,,-73,-23,,,-38,
US_MN_27137,2020-05-24,43.81,,,-39,-4,90,-44,-29,8
US_MN_27139,2020-05-24,-5.88,,,-29,-8,60,-57,-28,11
US_MN_27141,2020-05-24,18.87,,,-12,6,-44,,-24,9
US_MN_27143,2020-05-16,,,,-71,,,,-19,
US_MN_27145,2020-05-24,10.32,,,-43,-9,-25,-17,-23,10
US_MN_27147,2020-05-24,17.78,,,-24,32,-34,-77,-16,13
US_MN_27149,2020-05-15,,,,-48,-4,,,-36,
US_MN_27151,2020-05-15,,,,-38,-15,,,-29,
US_MN_27153,2020-05-24,110.62,,,-23,-7,,,-13,3
US_MN_27157,2020-05-24,101.95,,,-59,13,,,-14,
US_MN_27159,2020-05-15,,,,-40,-8,,,-29,
US_MN_27161,2020-05-24,3.18,,,-25,-9,,,-13,
US_MN_27163,2020-05-24,-5.61,,,-36,-9,109,-13,-26,11
US_MN_27165,2020-05-16,,,,-51,,,,-10,
US_MN_27167,2020-05-15,,,,,,,,-22,
US_MN_27169,2020-05-24,11.48,,,-25,38,,-24,-14,12
US_MN_27171,2020-05-24,6.79,,,-32,9,16,,-22,11
US_MN_27173,2020-05-15,,,,-57,,,,-22,
US_MO,2020-05-24,9.7,,,-21,4,55,-18,-17,6
US_MO_29001,2020-05-24,11.38,,,-23,57,,,-10,-1
US_MO_29003,2020-05-24,25.38,,,-68,12,,,-12,
US_MO_29007,2020-05-24,21.81,,,9,1,,,-6,6
US_MO_29009,2020-05-24,110.91,,,0,20,,,-8,9
US_MO_29011,2020-05-15,,,,-23,,,,-17,
US_MO_29013,2020-05-24,47.52,,,-27,30,,,-8,
US_MO_29015,2020-05-16,,,,20,136,,,3,
US_MO_29017,2020-05-15,,,,-50,-9,,,-28,
US_MO_29019,2020-05-24,14.16,,,-26,2,37,-33,-19,6
US_MO_29021,2020-05-24,15.71,,,-16,31,,28,-13,4
US_MO_29023,2020-05-24,14.68,,,5,10,,22,-6,6
US_MO_29025,2020-05-15,,,,,,,,-16,
US_MO_29027,2020-05-24,35.14,,,-6,15,,10,-3,10
US_MO_29029,2020-05-24,857.63,,,19,22,,,0,6
US_MO_29031,2020-05-24,38.86,,,-13,10,36,,-16,6
US_MO_29033,2020-05-15,,,,-30,,,,-18,
US_MO_29037,2020-05-24,21.55,,,-1,7,38,-9,-14,5
US_MO_29039,2020-05-16,,,,-23,-12,,,-17,
US_MO_29041,2020-05-14,,,,,,,,-20,
US_MO_29043,2020-05-24,42.82,,,-5,4,-26,,-11,6
US_MO_29045,2020-05-15,,,,,-8,,-56,2,
US_MO_29047,2020-05-24,-1.98,,,-23,-2,177,-11,-19,8
US_MO_29049,2020-05-24,32.96,,,-54,-10,,,-21,
US_MO_29051,2020-05-24,9.94,,,-13,0,,,-6,13
US_MO_29053,2020-05-24,41.33,,,-10,-2,,15,-10,
US_MO_29055,2020-05-24,145.41,,,-32,1,,-5,0,
US_MO_29057,2020-05-15,,,,,,,,-7,
US_MO_29059,2020-05-16,,,,-10,17,,,-1,
US_MO_29061,2020-05-15,,,,,,,,-6,
US_MO_29063,2020-05-15,,,,-11,3,,,-14,
US_MO_29065,2020-05-15,,,,-17,,,,-6,
US_MO_29067,2020-05-15,,,,-24,-21,,,-17,
US_MO_29069,2020-05-24,-3.09,,,1,-3,,,-2,
US_MO_29071,2020-05-24,35.11,,,-7,15,22,7,-11,5
US_MO_29073,2020-05-16,,,,-34,,,,-16,
US_MO_29075,2020-04-16,,,,,,,,-34,
US_MO_29077,2020-05-24,-5.61,,,-19,-2,18,-20,-19,6
US_MO_29079,2020-05-15,,,,-2,2,,,-17,
US_MO_29081,2020-05-16,,,,-81,-20,,4,-11,
US_MO_29083,2020-05-24,100.13,,,2,13,,,-5,-1
US_MO_29085,2020-05-15,,,,,,,,-9,
US_MO_29089,2020-05-15,,,,,,,,-12,
US_MO_29091,2020-05-24,42.35,,,-10,2,,12,-7,9
US_MO_29093,2020-05-16,,,,-60,10,41,,-8,
US_MO_29095,2020-05-24,-1.72,,,-29,-1,15,-11,-22,6
US_MO_29097,2020-05-24,23.77,,,-7,12,41,16,-11,4
US_MO_29099,2020-05-24,11.49,,,-5,11,74,3,-17,7
US_MO_29101,2020-05-24,20.14,,,-8,12,,,-11,11
US_MO_29105,2020-05-24,55.77,,,-2,16,,,-10,8
US_MO_29107,2020-05-24,34.15,,,-2,-3,,0,-10,8
US_MO_29109,2020-05-24,47.27,,,8,18,,-20,-5,8
US_MO_29111,2020-05-15,,,,-27,,,,-13,
US_MO_29113,2020-05-24,19.33,,,-13,6,,,-10,12
US_MO_29115,2020-05-15,,,,-32,-4,,,-16,
US_MO_29117,2020-05-16,,,,-4,11,,,-3,
US_MO_29119,2020-05-24,201.87,,,-2,1,,,4,-4
US_MO_29121,2020-05-16,,,,-20,6,,-7,-4,
US_MO_29123,2020-05-15,,,,-19,,,,-19,
US_MO_29125,2020-05-15,,,,,,,,-13,
US_MO_29127,2020-05-24,64.62,,,-2,9,,-38,-6,6
US_MO_29131,2020-05-24,410.53,,,19,13,-32,,-9,-3
US_MO_29133,2020-05-16,,,,-48,,,-4,-16,
US_MO_29135,2020-05-15,,,,-22,23,,,-22,
US_MO_29137,2020-05-15,,,,-61,,,,-17,
US_MO_29139,2020-05-24,65.93,,,-54,2,,,-19,
US_MO_29141,2020-05-16,,,,-26,21,,,-10,
US_MO_29143,2020-05-24,39.97,,,1,7,,-9,-24,
US_MO_29145,2020-05-24,35.9,,,-1,6,58,-2,-15,10
US_MO_29147,2020-05-24,-26.54,,,-6,-17,,,-13,
US_MO_29149,2020-05-15,,,,-9,2,,,-19,
US_MO_29151,2020-05-15,,,,-74,-7,,,-17,
US_MO_29153,2020-05-15,,,,,,,,-15,
US_MO_29155,2020-05-24,36.84,,,-34,22,,-15,-19,
US_MO_29157,2020-05-24,29.51,,,-2,8,,,-2,
US_MO_29159,2020-05-24,47.47,,,-12,9,,,-7,10
US_MO_29161,2020-05-24,48.06,,,-18,-1,,-5,-14,12
US_MO_29163,2020-05-16,,,,-38,-11,,,4,
US_MO_29165,2020-05-24,-19.93,,,-41,-10,8,-73,-20,9
US_MO_29167,2020-05-24,32.28,,,0,2,-57,,-6,6
US_MO_29169,2020-05-24,34.46,,,-19,-4,,-21,-8,10
US_MO_29171,2020-05-12,,,,,,,,-25,
US_MO_29173,2020-05-16,,,,-54,,,2,-13,
US_MO_29175,2020-05-24,16.8,,,3,14,,,-8,1
US_MO_29177,2020-05-24,17.77,,,0,5,,,-10,7
US_MO_29181,2020-05-15,,,,-5,-2,,,-22,
US_MO_29183,2020-05-24,7.3,,,-23,-3,75,11,-19,9
US_MO_29185,2020-05-24,19.84,,,-14,8,,-23,-20,
US_MO_29186,2020-05-24,73.66,,,-41,,,9,-8,
US_MO_29187,2020-05-24,54.23,,,-2,24,-29,,-7,3
US_MO_29189,2020-05-24,-21.2,,,-40,-12,75,-45,-27,10
US_MO_29195,2020-05-24,33.32,,,-16,1,,,-4,0
US_MO_29197,2020-05-05,,,,,,,,-30,
US_MO_29201,2020-05-24,63.59,,,13,25,,-20,-11,8
US_MO_29203,2020-05-14,,,,,,,,-12,
US_MO_29205,2020-05-12,,,,,,,,-20,
US_MO_29207,2020-05-24,22.58,,,1,4,,,-1,-2
US_MO_29209,2020-05-24,459.95,,,21,14,,,-14,6
US_MO_29211,2020-05-15,,,,,,,,-11,
US_MO_29213,2020-05-24,272.76,,,-16,19,-12,,-26,7
US_MO_29215,2020-05-16,,,,-76,97,,,-5,
US_MO_29217,2020-05-24,75.81,,,-5,6,,7,-8,
US_MO_29219,2020-05-24,62.23,,,6,8,,16,-16,12
US_MO_29221,2020-05-16,,,,-9,20,,,5,
US_MO_29223,2020-05-15,,,,0,9,,,-18,
US_MO_29225,2020-05-24,60.64,,,0,5,,-44,-12,10
US_MO_29229,2020-05-16,,,,-35,23,,,0,
US_MO_29510,2020-05-16,,,,-50,0,-17,-28,-29,9
US_MS,2020-05-24,24.59,,,-12,5,30,-9,-17,5
US_MS_28001,2020-05-24,31.8,,,-15,-10,,,-21,
US_MS_28003,2020-05-24,39.98,,,-11,6,,,-10,1
US_MS_28005,2020-05-15,,,,-50,-31,,,-19,
US_MS_28007,2020-05-24,22.06,,,-27,-11,,,-24,
US_MS_28009,2020-05-15,,,,,,,,-26,
US_MS_28011,2020-05-24,-9.5,,,-12,-1,,,-14,
US_MS_28013,2020-05-15,,,,-62,-30,,,-16,
US_MS_28015,2020-05-15,,,,,,,,-31,
US_MS_28017,2020-05-24,15.22,,,-41,-25,,,-13,
US_MS_28021,2020-05-15,,,,-66,,,,-31,
US_MS_28023,2020-05-24,63.23,,,-18,-10,,,-28,
US_MS_28025,2020-05-24,25.75,,,-8,-3,,-10,-3,
US_MS_28027,2020-05-24,26.78,,,-7,-8,,,-21,
US_MS_28029,2020-05-24,10.75,,,-6,-8,,,-7,
US_MS_28031,2020-05-24,61.55,,,-43,-28,,,-33,
US_MS_28033,2020-05-24,16.05,,,-17,8,60,-3,-18,7
US_MS_28035,2020-05-24,18.75,,,-18,8,-57,14,-16,13
US_MS_28039,2020-05-24,60.43,,,5,25,,,-8,
US_MS_28041,2020-05-15,,,,,-6,,,-19,
US_MS_28043,2020-05-24,28.45,,,9,-3,,,5,
US_MS_28045,2020-05-24,128.75,,,-8,11,,-66,-26,12
US_MS_28047,2020-05-24,78.97,,,-15,8,70,-16,-31,7
US_MS_28049,2020-05-24,-6.58,,,-16,4,-3,4,-15,6
US_MS_28051,2020-05-24,9.46,,,-55,-6,,,-32,
US_MS_28053,2020-05-15,,,,,9,,,-30,
US_MS_28057,2020-05-24,35.2,,,-44,-8,,,-7,
US_MS_28059,2020-05-24,59.13,,,-6,6,27,-4,-23,6
US_MS_28061,2020-05-24,33.24,,,-55,-8,,,-21,
US_MS_28063,2020-04-22,,,,,,,,-30,
US_MS_28065,2020-05-15,,,,,16,,,-26,
US_MS_28067,2020-05-24,12.63,,,-1,13,,-31,-17,10
US_MS_28069,2020-05-15,,,,,,,,-27,
US_MS_28071,2020-05-24,10,,,-29,8,,,-18,10
US_MS_28073,2020-05-24,24.13,,,-30,-11,,-52,-20,13
US_MS_28075,2020-05-24,18.94,,,-14,1,5,-6,-15,12
US_MS_28077,2020-05-15,,,,,-18,,,-33,
US_MS_28079,2020-05-24,13.03,,,-41,-35,,,-12,
US_MS_28081,2020-05-24,8.86,,,-17,-1,-47,-1,-19,11
US_MS_28083,2020-05-24,10.66,,,-9,-7,,,-7,
US_MS_28085,2020-05-24,9.73,,,-7,12,,,-19,
US_MS_28087,2020-05-24,13.43,,,-17,24,,-27,-15,10
US_MS_28089,2020-05-24,12.83,,,-18,1,-19,-19,-19,18
US_MS_28091,2020-05-24,53.91,,,-2,4,,,-7,
US_MS_28093,2020-05-24,56.95,,,-13,-4,,,-12,5
US_MS_28095,2020-05-24,15.34,,,-1,10,,,-15,0
US_MS_28097,2020-05-24,18.28,,,-58,-29,,-10,-20,
US_MS_28099,2020-05-24,-0.84,,,-17,2,,,-24,
US_MS_28101,2020-05-24,14.6,,,-29,-13,,,-26,
US_MS_28103,2020-05-15,,,,-71,2,,,-20,
US_MS_28105,2020-05-24,-27.66,,,-26,-8,,,-18,2
US_MS_28107,2020-05-24,70.36,,,4,5,,-18,-11,-3
US_MS_28109,2020-05-24,23,,,-3,1,,-13,-16,12
US_MS_28111,2020-05-15,,,,,-21,-25,,-26,
US_MS_28113,2020-05-24,29.68,,,-3,3,,-25,-14,-2
US_MS_28115,2020-05-24,15.83,,,6,7,,,-15,-1
US_MS_28117,2020-05-24,2.76,,,0,-3,,,-4,
US_MS_28119,2020-05-15,,,,,,,,-33,
US_MS_28121,2020-05-24,4.64,,,-19,1,-5,-39,-13,6
US_MS_28123,2020-05-24,14.49,,,-14,-3,,-16,-9,
US_MS_28127,2020-05-24,53.02,,,-5,-9,,-18,-14,
US_MS_28129,2020-05-15,,,,,-35,,,-22,
US_MS_28131,2020-05-24,27.94,,,-29,-26,,,-12,
US_MS_28133,2020-05-24,-12.31,,,-21,0,,-2,-5,
US_MS_28135,2020-05-15,,,,,13,,,-21,
US_MS_28137,2020-05-24,25.02,,,-2,-1,,15,-13,
US_MS_28139,2020-05-24,15.99,,,-35,-14,,,-1,
US_MS_28141,2020-05-24,191.89,,,-26,0,,,2,
US_MS_28143,2020-05-24,62.1,,,-50,-12,,,-38,
US_MS_28145,2020-05-24,21.08,,,2,-16,,-11,-18,
US_MS_28147,2020-05-15,,,,-58,-11,,,-23,
US_MS_28149,2020-05-24,25.83,,,-11,0,-14,,-24,15
US_MS_28151,2020-05-24,1.49,,,-6,29,,,-14,10
US_MS_28153,2020-05-24,52.02,,,-42,-14,,,-22,
US_MS_28155,2020-05-15,,,,-44,-18,,,-30,
US_MS_28157,2020-05-15,,,,,-22,,,-35,
US_MS_28159,2020-05-24,-0.21,,,-27,-2,,,-22,
US_MS_28161,2020-05-24,18.47,,,,-8,,,-31,
US_MS_28163,2020-05-24,37.35,,,-3,-8,,,-14,
US_MT,2020-05-24,53.7,,,-13,16,107,-6,-16,2
US_MT_30001,2020-05-24,42.02,,,-39,-20,,,-27,
US_MT_30003,2020-05-16,,,,-31,-7,,9,-22,
US_MT_30005,2020-05-14,,,,,,,,-25,
US_MT_30007,2020-05-15,,,,-67,-5,,,-27,
US_MT_30009,2020-05-16,,,,-61,-21,,,-33,
US_MT_30013,2020-05-24,56.24,,,-11,11,-11,-62,-19,0
US_MT_30017,2020-05-16,,,,-8,,,,-22,
US_MT_30021,2020-05-15,,,,-60,-2,,,-21,
US_MT_30023,2020-05-15,,,,-51,-12,,,-18,
US_MT_30027,2020-05-15,,,,-38,-22,,,-17,
US_MT_30029,2020-05-24,76.92,,,-13,24,30,-23,-13,1
US_MT_30031,2020-05-24,16.09,,,-35,-6,96,-47,-27,4
US_MT_30035,2020-05-15,,,,-59,-17,,,-39,
US_MT_30041,2020-05-16,,,,-32,4,,,-22,
US_MT_30043,2020-05-15,,,,-64,,,,-33,
US_MT_30047,2020-05-24,165.5,,,22,-9,,,-9,1
US_MT_30049,2020-05-24,42.58,,,-5,18,32,,-16,1
US_MT_30053,2020-05-16,,,,3,-18,,,-6,
US_MT_30057,2020-05-24,22.29,,,-100,,-36,,-32,
US_MT_30061,2020-04-21,,,,,-61,,,-36,
US_MT_30063,2020-05-24,47.89,,,-25,16,130,-4,-17,2
US_MT_30067,2020-05-16,,,,-49,-16,,,-22,
US_MT_30073,2020-04-03,,,,-56,,,,,
US_MT_30077,2020-05-14,,,,,,,,-24,
US_MT_30081,2020-05-24,91.25,,,15,24,,,-10,7
US_MT_30083,2020-05-16,,,,-43,-15,,,-26,
US_MT_30085,2020-05-15,,,,-20,-20,,,-29,
US_MT_30087,2020-05-15,,,,,,,,-19,
