date,key,noaa_station,noaa_distance,minimum_temperature,maximum_temperature,rainfall,snowfall
2020-05-12,CA_ON,CA006075543,65.888,-9.6,7.8,0,
2020-05-12,CA_PE,CA008300301,9.708,1.2,7.9,86,0
2020-05-12,CA_SK,CA004064149,49.587,-6.4,13.4,0,
2020-05-12,CA_YT,CA002101300,0.867,,,,
2020-05-12,CC,CK000096996,10.369,26.1,,,
2020-05-12,CD,RWM00064387,727.54,18,26.1,,
2020-05-12,CF,CTM00064650,367.472,,,201,
2020-05-12,CG,GBM00064570,242.997,22.5,29.5,0,
2020-05-12,CH,SZ000003700,69.785,1.5,12.3,124,
2020-05-12,CH_AI,SZ000002220,6.721,-4.7,3.8,30,
2020-05-12,CH_AR,SZ000002220,14.555,-4.7,3.8,30,
2020-05-12,CH_BE,SZE00116090,50.771,3.8,,33,
2020-05-12,CH_BS,SZ000001940,3.943,3.4,14.7,165,
2020-05-12,CH_FR,SZE00116090,15.066,3.8,,33,
2020-05-12,CH_GE,SZ000008440,4.368,,11.8,89,
2020-05-12,CH_GL,SZ000002220,36.602,-4.7,3.8,30,
2020-05-12,CH_GR,SZ000002220,56.767,-4.7,3.8,30,
2020-05-12,CH_JU,SZ000001940,37.469,3.4,14.7,165,
2020-05-12,CH_LU,SZ000003700,47.613,1.5,12.3,124,
2020-05-12,CH_NE,SZE00116090,22.449,3.8,,33,
2020-05-12,CH_NW,SZ000003700,49.796,1.5,12.3,124,
2020-05-12,CH_OW,SZ000003700,70.207,1.5,12.3,124,
2020-05-12,CH_SG,SZ000002220,16.65,-4.7,3.8,30,
2020-05-12,CH_SO,SZ000001940,42.78,3.4,14.7,165,
2020-05-12,CH_SZ,SZ000003700,37.822,1.5,12.3,124,
2020-05-12,CH_TI,SZ000009480,37.071,10,,216,
2020-05-12,CH_UR,SZ000003700,66.819,1.5,12.3,124,
2020-05-12,CH_VD,SZE00116090,37.756,3.8,,33,
2020-05-12,CH_ZG,SZ000003700,24.322,1.5,12.3,124,
2020-05-12,CH_ZH,SZ000003700,7.53,1.5,12.3,124,
2020-05-12,CI,IV000005555,112.655,21.7,31.2,3,
2020-05-12,CK,FP000091929,1003.305,26.5,31.1,0,
2020-05-12,CL,CIM00085574,48.037,6.5,20.4,0,
2020-05-12,CL_AI,CIM00085864,4.095,,11.6,51,
2020-05-12,CL_AN,CI000085442,23.825,15.3,19.7,0,
2020-05-12,CL_AP,CI000085406,14.041,,21.6,0,
2020-05-12,CL_AR,CI000085743,16.938,2.9,14.8,3,
2020-05-12,CL_AT,CI000085488,296.048,9.8,15.6,0,
2020-05-12,CL_BI,CIM00085682,0.025,4.6,16.8,0,
2020-05-12,CL_CO,CI000085488,5.322,9.8,15.6,0,
2020-05-12,CL_LI,CI000085629,66.928,,20.7,0,
